23712,46407,4823,28762,29089,26683,25698,1713,31719,35213,17294,23926,33604,45613,24529,48627,44668,1196,5113,13451,23700,19857,30684,22243,50020
36973,48059,23560,9529,18859,41595,25261,13135,46389,5640,45551,9444,24271,11476,12874,21523,26778,8457,29150,46279,30496,24592,8545,5820,2937
12378,46182,12538,33307,3295,47980,8235,15838,38549,18685,23404,7945,48932,41887,45805,3917,17266,7082,22197,42711,33999,12017,1631,10123,20763
21813,9558,30376,45830,24526,35657,42328,30483,33682,20171,6332,44367,48368,3502,46385,14299,741,40136,15629,3268,49670,2146,16083,14629,120
21250,15922,33687,45600,50318,31359,2353,18419,25052,44257,25639,40813,20186,953,50612,11695,30756,30454,12650,15591,29994,40446,24509,29960,12143
41125,35498,42207,26210,48328,32218,50396,19205,14139,19294,44235,3714,20252,15936,9364,33798,21233,25140,11607,23857,12252,12785,5290,47290,46052
8418,49946,30017,42844,23401,18710,39094,49492,11254,399,49735,31824,19301,9544,31322,43605,5568,32404,45370,33569,2922,37061,18273,24167,38753
2331,23202,24506,26135,40801,16769,34604,14808,29340,26316,45404,4425,46632,36566,32122,32322,50438,40212,1174,6279,31610,34393,26871,21704,28192
45132,43,13770,37503,27930,28293,29311,20578,37334,5647,49635,5077,6823,18547,16691,1815,45775,5861,10405,49542,29554,9278,11889,6484,13417
15634,40619,12471,5857,29876,46245,4109,41608,17281,16559,47428,123,50842,1670,13929,29585,18273,21626,47583,22920,34973,34312,10416,21878,5262
1749,37184,36161,31229,2143,15643,10570,45362,49913,33675,27665,50839,20791,46602,7614,27055,11366,37373,45383,40987,19747,490,17140,17657,2948
684,10748,46300,32530,40661,16110,39649,33077,736,26222,31427,48697,43138,13248,17274,9276,32017,20595,50826,8233,10079,40277,47303,8746,49676
44634,33477,7471,21260,19096,24860,40480,30431,10753,32071,38746,43412,19712,1134,42562,38619,2614,34996,17724,34663,5730,24165,25570,17162,27727
50304,38878,13035,5653,49212,2501,50689,24358,940,39409,40395,22852,9251,3828,17448,29484,38842,4464,17027,18606,6709,39716,10680,32945,35805
6697,12517,3056,23643,34941,7349,38811,36142,27632,44931,47756,22994,29407,16418,10662,24964,28184,47054,17970,7714,16187,46894,30020,8699,3240
47851,50876,2002,11520,456,3341,14279,46493,29463,28129,34596,10082,26865,40245,21776,4337,15945,24699,7144,32910,13193,15240,1329,2871,28614
46850,6404,48085,22437,50848,33136,39310,1885,34442,43263,13887,39029,13241,3631,13455,31,7939,16567,50433,42995,40867,2863,7069,16232,18725
11968,9115,46274,35386,38881,9810,20681,10160,25245,1248,11345,9005,46928,30596,48757,43619,26185,3008,50422,28679,21305,37157,47333,47494,24580
34091,45061,384,31723,271,10676,34614,13773,38081,14030,28181,26760,48003,44287,10033,4213,6952,4707,30422,28377,7474,6453,30335,35506,50211
4436,50292,11840,36353,4283,1106,860,13752,2620,3960,31428,12165,16379,40292,30335,35685,40553,49318,34692,25874,24600,22573,26289,47854,42707
5182,9823,1842,18248,866,6373,8618,4212,29786,41428,48856,23651,13274,35020,49474,23557,43133,10883,1991,34507,46920,9378,33103,396,38449
9032,22256,42986,13716,29726,19689,34538,14513,50083,34506,20381,18910,47721,39008,50434,36809,6918,42817,39893,32788,22009,8821,44177,19087,1389
38491,22350,18773,14029,36741,8395,49314,34901,48295,45276,8609,33409,44350,17739,36785,49945,33563,36462,1739,37461,47858,5620,13904,4004,36315
30229,26911,32086,32021,176,29857,13055,25844,36843,41235,22343,3186,6584,2930,27407,21159,12773,30322,3199,46413,4057,17212,42177,6370,28593
21730,32185,48036,32308,2214,47655,13274,24946,43096,24832,1505,3384,25189,31428,41746,24065,18967,30499,17606,10961,20047,37145,49366,12833,8110
38917,42207,913,15698,37706,4999,7856,12042,16048,23428,44792,49292,21681,25521,38596,22450,734,2543,22186,1211,34433,12093,29575,5870,14230
49575,18151,27608,24921,18078,37276,35198,50593,48446,18488,20259,471,19142,14141,29373,35273,29813,26437,44985,29253,35974,34288,34909,2104,24894
8969,15511,21268,2347,20114,25451,31839,41394,45012,40429,40901,14602,28345,50781,36381,22581,31285,2822,17779,6810,10300,40257,45218,36361,41336
31925,24484,13946,40896,13879,12588,7413,25808,6432,29110,16243,37866,36547,36528,34406,31285,10486,34251,28043,9771,25581,47501,37243,36088,31958
33217,47153,36474,15794,32056,33550,46650,41359,36503,28705,18863,11140,7169,16060,8680,37180,47297,11178,39716,18607,37870,6822,6150,48084,38244
25031,11283,2400,1685,1899,50689,22116,40132,46570,43121,18056,43365,11851,50456,25052,9757,37654,13253,44224,30817,8846,27346,20867,1448,46897
1756,8337,26323,21832,19371,15082,2148,12833,20143,15396,269,30150,8685,29522,41666,40388,43038,50294,9178,42101,39003,35899,43571,11418,25869
28626,19405,2216,12993,14723,38189,41256,2240,37740,26943,41864,16890,29419,4282,35513,37442,743,46626,3144,36129,18055,47363,25772,18401,33248
50458,44495,1114,27435,13937,8983,34173,2218,16910,45274,9361,26421,32656,28419,42660,44639,10393,1435,8829,47299,41520,285,39460,29398,3898
49285,48659,22224,45758,36224,46662,5952,35603,11490,32221,31075,17486,11850,19347,20521,39052,42493,48904,12168,22541,45589,24791,44793,33182,36511
40070,31457,17522,42823,4861,8051,38492,15353,13335,18056,35223,32138,30272,34818,29211,22540,37318,33534,25942,12582,21415,22333,28763,32936,34203
36255,19749,10351,20806,28940,14059,38919,50603,16399,4282,23866,48510,39272,44982,6690,5795,39696,17077,36530,2779,25376,22903,44614,20933,42621
9361,36746,17619,33290,20462,13893,10084,6638,3601,43314,12618,31651,33063,10725,50879,26338,31851,43447,4309,39734,46842,27701,17227,12132,36125
46101,11267,6225,38666,365,8440,37341,31751,8299,20497,39312,13995,49788,43705,12937,272,22609,29724,10849,8122,17423,36675,3152,48918,17124
19008,33191,14001,49606,22290,17879,26324,10860,45617,2309,15655,42892,49385,15084,39885,10529,23746,24477,7256,19101,25719,18994,9680,10316,375
3843,21266,7192,37832,33291,46935,732,26606,50855,5102,41353,16986,2935,5079,47458,4587,43097,11711,15838,37786,4442,49360,25822,4087,40322
