17865,2538,1058,21408,3430,50550,46681,30715,18289,33045,38769,25462,38718,17209,31318,26076,39655,13014,107,63,19,0,0,0,0
7320,2538,168,32336,1613,50768,48279,24519,19769,18275,31379,38769,38293,31296,24663,38990,26286,16343,16205,88,44,0,0,0,0
17865,2538,1352,16524,1030,50550,50203,30715,39587,24606,33044,17785,38720,24843,39654,26358,14836,102,58,13,0,0,0,0,0
6428,2538,452,35388,1029,24448,50628,27636,38834,18555,24890,39315,38718,17785,31378,31592,16578,26084,101,57,13,0,0,0,0
11750,2538,3141,13988,1613,50627,46681,30815,31273,19972,39042,19157,38561,38724,31322,24092,12150,88,44,0,0,0,0,0,0
6130,2538,1058,37548,1613,1899,46681,19500,31274,19687,32773,38771,25174,38726,15975,31319,39925,26366,74,30,0,0,0,0,0
11456,2538,1656,16535,3130,50627,50203,31098,24827,39314,18920,38838,38446,31866,24305,25516,17070,106,62,18,0,0,0,0,0
7320,2538,1656,5404,1611,50627,50199,31376,18841,38833,30728,38769,24323,38718,18923,26082,15407,23385,0,0,0,0,0,0,0
7320,2239,1652,14794,3130,50552,50069,23973,31653,38836,24378,38771,18332,24877,32682,40618,16203,106,62,18,0,0,0,0,0
159,2538,1352,21696,1611,1328,50091,18308,31272,37747,17789,38781,31319,25479,38723,13034,29738,86,42,0,0,0,0,0,0
11750,2538,3441,26222,3130,50627,50069,39315,15410,18555,33045,38718,25180,31864,17497,25792,39655,17354,106,62,18,0,0,0,0
11456,2538,1357,13665,1913,50550,50203,27644,18842,38838,32763,39042,25175,38718,19499,26923,31322,88,44,0,0,0,0,0,0
6428,2538,761,3357,1028,35071,50203,18841,26236,30821,38771,17785,38838,18886,38718,31595,25803,34,0,0,0,0,0,0,0
11456,2239,1358,13976,1328,50627,50203,39944,17090,31274,38771,24845,31939,38725,25175,22954,12760,102,58,13,0,0,0,0,0
12629,2538,1957,33430,4588,50699,46681,15674,30994,19970,31095,39042,24858,17748,38838,38719,24371,16055,69,25,0,0,0,0,0
