16579,39171,44012,41938,38717,308,16488,7272,19822,23465,36560,26283,49852,25103,7148,47789,33936,50569,2023,1349,24316,24807,10808,18112,26277,1882,8381,35619,7948,20832
12764,4062,14096,50693,34849,25994,127,50639,33816,36716,6919,1694,33837,31693,29606,28416,26032,43940,9206,26370,5992,47962,15135,34455,9732,50094,21713,7127,12337,37380
9504,36661,16773,47754,43244,17557,11190,34045,11695,14278,33801,18684,36254,27692,22384,23302,3235,45079,39883,16824,19654,19196,25113,10115,38633,11285,22803,13295,35852,39834
38781,41535,12039,43465,29954,6577,19959,14018,44068,26625,47343,45343,43088,18860,749,49025,23696,28027,22320,8585,3920,42532,41901,25314,43364,38991,35725,47065,8726,2582
20135,29854,31102,46204,15383,2292,42102,23232,32921,12656,5901,36038,12661,33907,37004,9340,17828,44341,21893,2746,11851,38459,41106,31020,44484,7450,7647,44627,5260,2779
40642,2257,21197,39798,32654,33396,27872,48187,47578,33709,40354,24589,35610,6764,2005,14092,12982,5025,6118,34253,28172,10126,47280,49059,9248,36775,49664,33137,3936,36366
43145,4127,2913,13778,12725,13516,32680,13641,34194,33291,3271,44590,6935,19178,34647,1861,26183,43456,49290,38267,28023,22188,49485,47892,2817,27877,29121,36556,39972,44310
13983,19328,39624,12801,37271,16812,970,7692,36051,22517,35839,17050,8097,526,27270,26597,45450,28648,27031,23806,17683,4285,34775,45617,15334,29927,25495,47213,25282,23562
15042,47593,39501,15509,22988,13775,16035,50337,38145,5774,44325,35195,20052,3684,34685,48938,45398,39344,7586,26454,18465,26041,1690,1094,43242,18642,34522,3230,28939,28314
32501,10746,25042,866,35887,38687,50254,47279,35416,48831,16388,21449,23947,45993,7078,13648,32,14179,19496,28648,25681,27030,44229,32967,26818,5850,49170,36786,14740,33505
38971,8924,15290,25049,8958,45187,8248,42147,10511,32228,37646,37098,14512,44139,49795,38134,46845,42767,28781,17031,1421,50655,30071,35317,23847,7598,28402,12284,15588,22803
50598,16907,8290,45725,46631,37758,27202,16190,29043,3499,17617,20695,1679,16452,12329,30037,42722,38638,40118,34556,7212,18825,35132,9761,16097,36424,9864,21813,4142,46773
19236,48240,13598,39937,46311,14217,26077,23853,46790,33416,47659,28227,4121,38100,34180,7502,25818,1624,23681,15493,17611,10544,9974,20416,32385,48225,47770,14101,46330,33246
39554,13045,29651,33305,25340,7841,12296,9518,49023,2567,31379,23191,4207,22026,6792,12249,10397,11170,25461,9664,42928,671,25508,50684,19436,7994,9966,10467,35842,34241
25850,34102,36333,27809,16026,14742,12327,852,17447,37563,17972,46907,28618,3866,33681,48381,3119,27115,42805,6434,36464,10113,43843,31378,341,9040,45009,20825,8713,41812
31545,40293,34480,27452,10855,22937,30002,34462,34282,26318,27392,13315,25848,17553,26962,47811,8119,28344,22421,17148,48433,48954,38978,10311,27753,25844,3628,40039,34457,46404
5842,22533,23964,37036,45913,31613,11437,32472,31906,13788,23032,2608,5632,46649,41809,43060,26749,19360,4636,36388,32623,46818,20333,11181,16319,47217,25695,29415,21012,26163
20368,8122,22072,12541,6058,47141,25536,22352,41414,39487,18967,39489,33353,22506,38301,17688,40141,1862,50695,42782,14649,22784,34471,6623,17592,27861,24931,4745,45952,40215
41892,50429,24108,14458,21075,33448,29150,5611,38346,12873,45260,11625,18338,24270,45562,2034,10840,25924,41192,4869,42028,14042,41051,10999,42524,17847,19932,50462,10056,47431
46643,27245,26769,6692,8,46343,550,7888,39758,48142,49210,7884,26327,13561,11641,15482,43763,12104,34817,20852,28130,15903,32119,23504,6780,32474,21286,16078,21259,5991
38589,20155,15306,4846,39359,37401,11821,26517,24081,29380,46633,21884,20165,19122,42014,17263,16066,1838,24368,4361,13297,37623,33409,1740,23571,8663,48901,49842,3073,34549
7497,11829,3625,42449,18131,33776,48959,24077,42649,282,31951,10080,41504,784,1880,37157,21568,19651,6599,38641,9928,34097,10680,28832,43433,45267,29893,16972,47163,48651
24354,15924,8638,40114,2163,39332,31879,1668,47233,7056,39106,9631,26557,8645,32059,28623,38821,31224,32864,48308,25137,49456,42340,25174,44590,24949,23460,13758,42033,443
39625,35184,2147,48985,37381,9112,26123,22144,5220,30622,12529,45952,23716,22978,36853,16340,34453,32841,5609,42524,44499,39335,22108,25632,14573,17506,11979,15352,29364,40967
9757,162,19182,38082,8348,16425,40676,16153,11152,29120,7328,13727,31963,45022,40677,8001,27813,24662,31041,45915,1897,35159,50306,28434,15566,14560,27033,39807,46317,31620
36214,36987,38260,20160,9264,50677,2023,1895,42985,18463,14050,32069,1770,10835,10052,40259,27130,39178,7059,21784,32873,36439,39719,45112,46633,20875,20621,36178,48290,35837
431,2586,33774,4711,2605,26315,24256,18681,9893,7553,25441,9855,24442,42637,46629,48156,22188,16640,10318,41121,9617,31702,46936,8389,20551,43396,9860,13076,48723,41573
10685,41111,13870,11054,34949,24006,26811,8571,40003,12763,19547,41448,25177,21723,45119,26733,17169,28762,16025,25796,30861,8081,46873,12778,7777,27393,49170,39786,39299,50093
33171,24693,15655,8983,8962,1735,2061,22469,45507,30503,39738,45150,27354,3584,15026,7484,6500,38292,15710,45164,13203,11498,36439,28000,39301,18206,8635,4369,37995,24687
4492,50610,50360,41023,9315,16783,27325,23822,7013,16992,6132,45831,8978,23038,47996,2616,45734,7395,44273,17223,13079,28371,31931,45642,38778,25288,8077,33023,23995,34660
44495,15908,30001,28974,13701,6603,44422,13309,16155,23025,589,5787,14136,47103,6681,4165,3031,11174,44820,15631,46187,18153,37963,37283,29823,38396,9433,23214,17502,460
46904,17189,45824,15659,38748,20187,11101,4355,19806,13931,5329,42411,1638,8731,49153,33009,22502,17989,22356,41933,29567,40716,23482,33121,22070,35366,30423,46164,31625,17929
23179,14399,13763,29691,16746,47513,40257,1648,29592,757,23428,43311,3684,35291,26639,18622,34726,47205,32854,1862,3249,46998,33020,11012,10851,41479,41099,42553,2210,398
26719,11032,12858,32980,21689,17125,25585,48564,12201,19374,25392,37364,38801,44737,46311,38185,44402,43396,5232,4824,50715,29797,49635,12442,4278,7162,4127,32099,4591,33974
28579,23951,31575,41746,6933,14360,1775,39927,49296,12790,1153,45401,37890,11553,7934,14829,25172,40563,804,47182,5741,29611,43723,9301,34067,42801,30015,42843,21788,13909
19438,21112,24087,40378,5911,11796,41682,41974,12857,32374,9851,46843,21268,6550,44237,30111,36309,21464,50804,11477,7260,44401,22584,25456,23321,10344,50207,11364,8635,1658
34242,50238,24703,3118,14851,34747,23667,41598,45608,28058,10780,37331,5997,46572,27972,5226,30133,43270,48552,16929,44882,24554,24650,31344,21574,9676,24982,28825,25819,33653
15185,47059,25865,460,46082,50714,37778,43375,45560,47470,23742,16301,31710,28182,40666,49320,14569,38703,7160,9572,16293,15194,28247,40839,36038,8817,42424,1594,23559,26967
23993,30248,21873,48713,1412,21372,6388,14555,3380,28055,12538,43369,43526,47292,1001,11335,42984,47281,30047,31808,50003,23508,15930,9456,40934,31428,44999,19740,16477,48526
16766,47432,36940,46685,12874,11782,19096,6310,32461,27935,15234,24704,47574,32803,12579,22692,5124,8160,19332,23015,4585,493,34517,50819,18456,12641,20408,29126,23165,14097
2027,204,8113,25051,22078,27002,21356,36013,17708,45494,32609,49994,27829,48469,43808,30911,2601,48505,20167,42482,26920,3940,5578,8514,23124,18917,34073,48151,32956,15172
36971,444,12934,24390,35766,19716,50495,8337,1643,29952,32443,26427,34584,40052,32415,42594,16773,33357,6370,18825,44350,36253,41459,49707,34030,41084,20689,20658,32114,42577
8475,38698,25860,19501,22671,42777,17991,21563,23298,12703,24753,504,20895,43914,22590,14646,5355,7975,33034,10108,47718,40282,36531,7787,4582,10094,8800,32546,39987,27885
45094,23325,10603,39320,37133,42850,2371,1203,7562,18231,38101,26228,36602,35968,41716,16927,44137,44369,32279,23983,6448,45160,43184,9761,4389,40376,45344,32498,2443,11445
12717,20755,11167,4486,44635,48950,7555,7329,42774,33112,36991,50506,37797,5892,43465,32889,6022,9624,25404,32350,17442,10591,42736,10081,26296,25518,42897,19216,3989,3566
