40676,7197,22048,28412,41942,48481,173,43204,27242,3730,21556,36760,30270,18468,16317,23706,12376,29871,34531,7449,47616,33005,16280,23595,12650
50786,4958,11248,33477,38236,42712,17531,16902,22778,13408,1194,36005,22219,21244,636,37441,29856,46784,19959,10261,27950,11627,46243,10547,35074
37120,820,13232,1331,17142,7150,11142,43854,45010,42719,48339,1500,16639,15831,37207,25391,50256,10705,42562,45567,22633,30127,48583,46437,39753
35655,21825,33296,49132,9927,21341,38001,13470,1548,17811,2243,36643,12624,37881,10726,1515,47226,30929,4502,41559,33462,37426,43155,49199,4704
21466,25949,7825,45034,4980,46151,1260,15623,1665,50701,1842,25192,4430,19266,26239,5713,7556,21940,43025,1039,48068,8381,15663,36322,48339
37264,10963,46482,9211,34241,36443,44438,33877,41090,461,23986,11064,33914,36705,46028,29507,45469,36291,9910,7051,1018,22640,9389,2291,19068
30894,155,48122,34613,46770,25103,47992,14935,838,10942,50814,300,38347,8045,20890,40031,34967,36796,32732,98,18007,1494,14741,18338,20080
3638,50467,37271,49985,35219,18375,39982,37340,45820,16697,828,21129,49030,36006,43042,16397,10108,20838,42644,30015,4193,22071,49254,47662,23215
16840,29938,23337,4016,42838,10506,39728,684,46988,22023,34549,10068,25356,604,16548,12643,19280,28038,46982,15182,688,4190,49977,44284,16524
21223,46646,20766,28740,13013,23636,6250,24149,2590,47946,7513,17096,41876,34517,37982,43776,3829,27694,23141,37671,41376,37836,26337,46989,7093
16949,6135,42337,44655,43911,27335,35048,23556,6,34925,20743,24153,39965,762,7150,6272,9970,39807,41065,23383,24442,48465,2533,30311,10216
27865,24996,10365,18966,27467,39580,3844,31021,32506,2222,38416,22092,3063,41755,35150,44263,31973,29165,7406,30901,4733,30825,21717,11699,27828
5642,8808,6490,34441,36097,35619,22844,27501,47396,14835,49314,22742,15305,8063,18704,30320,2994,1106,31025,41218,29598,50894,44220,8041,19594
6258,19592,14491,38841,45307,37530,14825,11391,37519,20824,42811,24952,15645,5660,26301,4906,4565,26676,8846,45481,30536,43327,30813,45706,44374
28821,26337,42872,22127,22718,44598,30302,15661,23992,47397,28400,19978,38618,50175,24523,25815,42762,42569,28714,27494,39595,16362,47048,40661,9346
44706,14220,22640,49092,48485,20764,29586,18519,21588,18798,24039,29455,13216,37568,28198,26122,40383,32280,19808,43454,42760,24634,6221,14238,49354
24865,39896,31519,11201,22558,34345,15427,7910,2254,27253,49500,43897,43314,2793,31250,33197,21914,12579,34558,24422,28270,38067,13171,4805,40494
9692,29230,6072,49314,27825,19183,26934,8746,26197,46902,33264,43360,42138,2806,1222,20692,43888,30150,46307,47438,24107,39195,14088,32740,26896
18000,28951,1500,44541,46376,32125,3422,17874,19915,24736,29747,33655,50673,29029,20167,30040,33775,12235,40381,6534,10544,5856,22472,13638,11349
30841,47971,48726,11500,3366,30637,47018,12407,16984,1837,3122,3625,41703,27497,6859,6836,28981,11686,8247,6575,10120,40307,42854,860,17402
47333,26908,33525,12997,20412,16996,12281,33782,44799,18179,38629,8651,37131,13842,9869,20192,16774,40282,25688,6827,9456,19388,9806,10721,38782
48615,31659,38831,20787,22169,27714,3434,40947,14429,5575,26007,35956,20717,17426,2163,46385,41795,33400,26389,30166,21165,49585,48834,44547,26981
29399,17771,48269,4132,9592,46683,407,19317,40679,46159,5347,50341,12000,39823,50372,15885,48231,36258,20355,6724,32837,15673,16881,11738,16453
