11750,2538,1058,17957,1613,50699,50198,17973,31273,38825,18284,24325,24825,24274,38780,32218,37474,18310,21693,38736,18334,27383,38446,34725,30737
7320,2538,1058,13020,1028,50627,48279,17970,31098,24543,19686,38822,18882,24275,38769,27663,38566,20002,18289,24616,38446,24584,35825,30450,16799
9984,2538,1357,6292,1028,50550,50203,18901,18252,31273,39042,24259,38020,18844,24617,38823,18595,24574,38718,33050,27663,17707,24558,34725,34352
9394,25299,4042,15364,1027,2238,50203,31274,19488,24275,38566,24258,17962,32763,38822,19727,18844,38769,25175,17719,38173,35825,20834,37694,27943
7320,2538,1059,18864,1311,50699,50203,19752,33049,18842,17667,38822,24891,24273,38772,27368,38838,21696,19786,38446,31284,35000,24542,24585,33523
11750,2538,3443,18874,1028,50627,48279,32765,19397,18266,25393,38835,38769,27383,24896,22265,24275,38718,35829,30728,18328,38818,31025,18353,38801
9984,2538,1352,12450,1029,50627,50198,18841,19686,32496,38838,27944,38771,24260,19789,25460,38551,18284,18884,38173,24309,18037,38801,27085,33070
11456,2538,3141,14289,1612,50766,50201,13914,18840,19397,38781,31374,38566,19187,17729,24259,38542,24275,27943,31008,38718,33068,25742,37676,19212
17865,2538,4340,32771,1913,50871,48484,15947,18841,19398,25392,38560,38780,19458,31563,24559,27383,19209,38446,35276,24299,25176,38816,22550,38739
7320,2538,1657,6007,1912,50627,50201,33049,15947,18842,38824,20260,19727,27663,24272,38780,37747,17377,24541,18037,38718,35004,27928,19210,36090
9984,2538,1351,8459,3431,50550,50203,20026,24273,19976,38833,24290,17974,38771,31375,17091,31007,38546,25107,27663,38195,24901,19785,36104,17134
159,2538,1355,2465,436,5237,50095,19786,31002,27662,18266,38552,19973,24607,24825,38771,18314,24272,37474,18868,32491,37900,17090,35813,25435
7320,2538,748,2528,1314,50699,50069,39938,19686,18842,38771,23697,38836,17718,27662,38816,31374,24892,38719,19785,16799,38529,18887,30727,35829
6726,2239,2241,30815,1328,29801,50201,11398,19987,25392,38833,24273,19489,38772,18281,18822,35825,38718,22552,25459,38817,27664,18933,38468,18585
