12629,2238,1058,15970,1030,50627,50203,19685,18841,24897
159,2238,2841,25927,1614,50550,46161,15396,31273,19398
9984,2538,1658,25480,3431,50627,46681,17953,27662,18844
11750,2538,1058,26206,1612,50627,50203,17500,18840,38824
17865,2538,1352,30653,1028,50627,50201,31104,18334,18841
9984,2538,1357,7541,1913,50550,50202,19988,31376,39042
11456,2538,3441,36752,2213,50699,49937,32774,17976,17667
11456,2538,1657,26199,1912,50627,50198,17979,33051,38769
9984,2538,1057,6897,1912,50550,50072,39314,18266,27364
11750,2538,1356,15108,129,50627,50203,17378,18553,39315
9984,2538,1357,19173,1612,50550,46681,24613,31273,19412
12629,2538,1656,36451,1913,50627,46681,24272,18613,19686
17865,2538,1357,15372,3130,50699,50069,17090,18841,38566
9984,2538,1357,2210,3431,50550,48484,17665,18840,32766
24165,2538,4042,33774,1612,50550,48279,15968,18554,31006
159,2538,1657,10866,1030,2542,50094,14221,19983,31560
159,2239,13805,13989,4588,2841,46161,13929,25175,31557
6726,2538,1656,32320,1030,3414,50201,19398,30994,38838
159,2538,469,32770,1031,3141,49968,18842,27929,38719
11456,2238,3441,23998,1914,50699,50199,18848,39315,31274
9984,2538,1357,19954,4887,50550,50201,17405,31273,19687
11456,2538,1356,21407,1612,50627,50200,18316,18552,38771
6726,2538,4340,23881,1328,50628,46681,20269,18555,25105
12629,2538,758,23090,1610,50699,50199,12546,18266,38834
159,2238,1328,10551,1914,4340,46161,17956,17976,38496
12922,2238,1056,15078,1314,50627,50203,19771,18553,38825
7320,2538,1046,18073,1314,50627,50198,18843,18596,38771
9984,2538,1656,10479,1611,50767,46681,15925,19973,30994
24733,2239,452,32390,1913,50767,50199,18553,17375,38834
11456,2538,2844,10534,1611,50627,46681,27663,24274,19686
12629,2239,4041,2513,1313,50627,46681,17970,32491,24274
9984,2538,1352,6008,1313,50699,50199,32392,18844,39315
11456,2239,3441,17681,1314,50627,50200,24556,27636,32486
11750,2538,766,211,1610,50627,50203,18279,30538,18841
12629,2238,1357,15033,1613,50627,50203,13323,30816,18553
6428,2538,1058,39990,1614,3124,50203,24241,18553,31655
159,2538,759,30822,4289,50627,46681,18835,18910,39042
9984,2538,1058,1499,1612,50768,50092,18842,19975,32768
159,2538,3143,18270,1610,50627,48279,18295,19686,30995
159,2538,1357,13111,3131,38358,46681,14221,19739,19686
12629,2538,1044,10535,1610,50627,50199,18266,17378,31375
159,2239,5237,15369,1314,3132,49971,25179,19684,31272
9984,2538,1357,19712,1028,50627,46681,25673,19398,30997
24165,2538,760,25050,1028,50550,50198,18830,38829,17689
6428,2238,3143,11687,1028,50628,25016,18824,32764,39314
159,2239,1352,18845,1312,3731,50203,30994,24267,38838
