34674,25998,48872,25290,2139,41797,2397,5179,10875,9492,28013,23563,30471,306,22005,15388,312,32350,24524,19958
8212,2647,43158,23748,50870,4621,44756,3201,39500,31191,44887,8526,41507,49837,5266,38030,41033,4815,26578,44823
38934,22669,9864,14747,24490,11516,31681,36155,3165,24857,14519,25357,40679,32838,18376,15019,38990,46271,15490,14888
9411,50446,23777,2612,37486,6126,43724,14184,37312,42324,9069,35361,31499,38909,13764,16956,36363,20011,29366,35410
32697,35033,49379,14799,1195,43463,45973,36839,18283,13924,40725,7319,6862,23796,7479,35488,43232,29991,3800,4512
45091,48718,16035,15642,7201,46475,1869,17162,16158,16121,12021,36335,18361,35353,6010,49078,8343,57,34334,37122
31132,19675,11478,38511,33988,3896,48238,26357,24238,37954,10622,14830,25271,48928,28342,47395,20487,32260,3757,41095
11498,44695,47612,7659,6580,27606,26989,31873,36610,5038,181,22853,50782,4026,39458,33146,25892,37789,26266,48374
23577,3991,3942,18871,2303,39167,25138,50087,15982,284,11778,35444,4565,20926,27037,15317,26726,28039,36055,38595
547,2831,10746,49854,50112,9748,13835,5435,6935,29546,34473,35949,37657,46910,34218,12912,1471,39009,30019,30513
36532,39756,8751,35709,11920,25278,24991,13014,29784,2523,12132,25592,28941,1815,27735,49462,39362,1284,46676,38255
35282,33256,8356,47142,45800,28361,8570,48925,23405,3051,32234,9919,4480,28118,26570,8558,49014,16527,1968,27972
3446,35444,27148,10364,1810,32004,24998,31147,35769,38609,26117,26984,37352,112,22160,16690,22366,13814,15637,25050
15054,46742,27119,35238,7170,47273,17136,33033,36369,35383,37982,45469,38795,7354,4758,20328,4040,29,32321,27657
15600,13591,14296,35794,6548,43534,4816,38858,42428,44858,48552,10911,4932,15558,26181,30032,24978,2641,27476,35032
41094,32327,4744,37184,17939,6044,32300,1622,13183,23526,215,47654,20102,9194,11367,34101,1727,45588,20875,3815
964,35783,14899,35438,12358,43555,33128,6601,4479,1627,6721,43167,8734,49269,15429,27017,37173,5325,44174,29824
46416,8191,2712,10600,252,27714,19112,43328,25360,10128,11854,2438,19096,3269,15257,49019,40058,23933,32242,46497
19100,27452,50226,43629,47024,23649,1946,19964,5662,41314,6765,17597,39258,50019,2658,11049,34969,42084,18997,2190
18552,41770,31519,28287,242,1483,45437,34126,27607,48922,43688,49763,19904,15666,6682,29038,34519,33827,9338,32336
48235,48590,19491,29308,14318,29864,16535,36245,29764,32555,33937,43366,26471,6661,50888,5635,26024,20968,44436,32735
49298,47488,47733,28341,38266,34763,7341,33592,36742,39467,39541,22651,25792,22822,7665,35411,45898,41917,27061,46021
27394,44180,43072,5230,7811,1066,6782,43936,47579,45179,44850,30410,35856,25857,27839,16275,28001,13479,23215,2514
14767,17680,6513,49197,14971,48485,28280,34109,7504,46092,31778,49651,709,32989,39036,27769,13216,38308,41095,990
836,17541,39702,2708,38035,24902,1388,10514,36586,4804,1079,48133,338,35835,19595,5551,44703,30160,33845,21846
19789,45459,13864,33767,48391,3386,36434,12813,17395,45236,31621,47176,35620,10133,20718,39737,37408,32824,7724,44355
10253,13443,3090,43130,34997,23163,6616,10028,13683,43777,47916,4842,15874,33538,44858,28627,10978,42303,11786,9365
33055,4825,800,27850,2684,16628,5294,35838,23356,45219,28969,46931,41486,18676,38639,29114,26961,5515,20744,23416
34620,50481,7396,19801,46394,39455,17405,14169,38355,6594,27129,8442,2535,49186,32776,2448,24741,35066,17117,31169
45292,23210,26835,5023,26549,27564,46920,26957,37307,35896,20929,50459,29596,24300,931,5330,25349,42860,32452,18955
23793,13339,36622,14185,49216,208,45139,20808,48980,8404,21994,50620,46241,23942,19165,10687,49542,41502,43173,1886
19099,40876,9550,5533,43896,3290,18347,16186,15208,43815,34821,11446,35852,48424,27541,3014,33616,22386,27889,30927
19767,38325,39254,12404,3752,28033,6241,25545,14954,47431,7303,1837,34886,47997,3590,13239,1032,41865,13337,12486
12784,11496,13183,24122,15270,35412,6905,19682,23854,9588,46823,37723,26000,8502,35176,38477,34294,11968,27151,47468
23467,21639,37888,21848,5506,3030,33023,21677,33013,11499,10728,35478,31847,48714,3980,4101,43555,10054,6108,47043
40547,10706,45633,6943,15834,14706,21694,20819,41697,15225,34442,1688,42318,31580,31909,26802,40575,23464,8812,10895
17401,26616,46718,41492,26036,5483,35860,5487,45095,23890,19290,3176,30399,3389,40408,50402,9598,39320,1176,46849
5059,47889,31542,34381,40612,13424,40876,26506,15410,10160,17950,47878,2438,3171,2518,5665,28616,40407,27555,20317
6709,32293,36305,32240,31610,17999,29230,50043,4464,21190,33030,50370,13812,8122,36877,19331,8788,48439,25595,11965
49625,14764,18163,14882,38309,9002,15587,916,24052,40267,16877,42670,17995,35874,33527,48425,6064,3228,30996,18033
19980,17344,38612,22395,47777,16702,34354,8804,23513,29235,45805,11409,26192,39186,37066,34479,29419,17039,31788,42410
32766,38353,9064,33559,7233,6162,14085,25548,28440,47600,36803,30628,39754,40557,39780,12543,50140,49020,28106,2544
33137,40163,2314,36122,44399,38912,44571,19242,12627,22281,32988,28930,10904,13290,1600,49857,29881,37909,7749,46427
33398,22268,39885,28394,11770,8044,441,49708,34272,18534,30272,2970,49947,35933,16967,35444,47285,2120,10338,48204
49488,33428,50684,6941,1066,15365,30835,32419,33413,44033,14164,26102,23190,21829,36846,19871,5977,23611,34812,18643
15767,272,47013,6620,24113,31367,20689,43148,5904,33,13606,12269,46473,6462,25336,11925,15048,26406,33662,1779
26461,30239,10871,41966,18338,25339,44262,23444,10122,36335,7868,37606,8799,45822,29906,48105,21482,37644,48338,28869
30910,16507,7107,16788,423,18083,49216,15809,10612,13544,7192,31693,43319,23431,17910,15717,22686,47319,41622,31748
17428,24739,6204,13810,44962,34503,15552,19529,49717,45484,24750,15934,29430,20322,13005,21294,8591,315,13299,15710
7130,43946,11792,19850,50019,41093,20319,40548,14227,7999,48440,6761,29124,27827,6418,1045,27224,14604,1425,14600
44465,33348,12455,5860,10875,11670,42845,26039,47867,25336,40323,16557,36166,28764,25876,28675,47964,39332,8416,23806
19842,18407,13242,12201,821,40813,44911,11443,13448,28739,49004,19885,55,20245,4720,20484,19100,37420,50577,47608
42451,15859,21197,6454,15598,22693,30191,46268,12765,25856,42631,29809,48040,28325,32356,25801,41050,25658,48111,46320
36898,48698,20039,17066,33491,36520,14048,31970,14629,3925,35703,17293,26049,24681,1649,5640,42144,11155,42845,46594
48308,31560,29654,9044,16490,33841,7723,6482,7782,39771,15830,11498,5785,44976,8316,28645,30818,30747,26570,9001
19952,35479,36627,2633,28331,10994,41495,8802,31948,17123,2846,4401,21328,35272,20992,28303,46086,14135,12141,42511
47406,37008,33649,48765,50471,1167,5675,40096,28115,10081,4486,3448,24005,48596,9011,41743,4867,36358,22246,49352
26748,21718,34911,39531,32063,37803,40832,12569,20275,6751,22518,25786,48464,28221,19567,45090,20919,20564,46731,34937
5069,20106,10184,17471,40315,8053,50482,41458,4251,35489,18164,17523,21708,32294,4957,5594,49374,3886,21085,30231
45442,17901,9970,7284,20592,41213,5555,44761,30983,18494,6424,8770,31304,9103,10730,49122,38253,29644,39991,8941
34582,50040,7423,33503,27143,11868,21708,45007,36358,34257,37372,6041,11266,25850,11389,7461,23054,45188,38435,16119
19949,42703,3538,46907,42852,42581,27936,18571,16064,3294,27313,35994,38535,30924,44324,7045,2815,17368,18647,34785
50721,13875,33031,11029,24666,8593,2159,30975,24906,18683,21843,41347,31688,18929,29420,23066,26990,6807,12785,41340
16691,45971,22500,17726,17191,15710,37375,23490,42386,7606,31406,1864,17238,35426,32475,15660,16057,48301,4221,20074
41269,31306,25829,30074,49883,17716,2714,8818,24733,31808,49639,23083,5584,19694,42239,39090,18443,18602,35082,46923
47369,34331,23510,23334,1077,41960,24077,684,11352,39117,35915,43520,10357,15308,31618,32989,17874,38662,16248,45930
5638,38837,38866,1214,4464,49264,41879,24486,33094,13666,30611,41738,45095,33677,44249,36409,19373,26826,11789,41371
42545,36021,38476,44904,47573,42241,36537,27684,41399,38205,35726,11278,3095,36278,34986,41962,23684,46765,16902,41571
26136,6239,24602,17775,2119,41879,22894,34054,19001,32099,8710,32684,8055,32369,44585,6698,50656,10989,24986,5699
20054,33784,43825,19719,25860,8286,7911,12813,48755,46702,19019,48939,7841,31274,31906,1493,3620,30420,30345,11786
41846,7097,33180,984,47823,14414,48712,8445,43727,25682,28476,16226,34135,46684,35222,13790,11670,47176,29993,2603
32122,50670,18766,25420,40115,3737,20537,45973,21505,8891,5346,40090,10375,27292,20192,5386,10553,14270,6767,13286
42737,23884,24008,46348,13284,13965,23478,29663,28731,3787,25362,5543,11512,29817,50630,44621,5159,30009,32558,33790
17966,23773,19606,32049,11684,30942,20249,47519,50717,46120,34465,48347,5120,45068,35717,22259,26161,3544,1639,2160
25677,47816,6521,24325,2268,20391,43788,9756,42546,10537,36026,24401,24750,25192,13096,36616,32425,48946,42353,24990
15454,26829,4868,12943,24898,23449,2991,48454,19022,14148,41628,40362,25130,30904,10409,34266,19858,43743,21264,24041
47365,21631,21219,14425,48756,46074,35157,32852,26686,47359,14819,22665,10314,44357,28611,8896,2545,27727,42135,25267
3137,3608,29312,30006,14060,24648,47917,20238,50062,23320,17188,11135,10934,9722,26160,43244,15252,29141,48964,4659
27329,39592,38702,38145,16756,37275,14853,15862,23410,36029,43923,49160,35573,5504,46555,26035,8196,16512,8749,16468
32598,1803,7597,2533,19200,45023,31098,5997,40010,38416,33509,29977,20332,45207,1459,1368,4081,46418,48400,12280
21483,822,3576,14211,10570,30836,5761,18519,21524,34076,6986,22219,29512,26804,36817,50722,19905,13405,50157,18756
5699,18936,32896,11560,36517,25530,20377,44319,37523,2000,44801,23596,33568,44690,20298,14997,25738,46825,29480,34523
27551,26960,36977,20895,39490,10766,7572,11060,8896,7620,17367,42453,25976,17935,44681,4756,49766,2996,28966,31213
