8.472885529869999737e+05;5.387561937676999718e+06
8.470259787299999734e+05;5.388016674518999644e+06
8.475713252649999922e+05;5.387865095571000129e+06
8.477430084329999518e+05;5.387652885045000352e+06
8.478137015019999817e+05;5.387703411360999569e+06
8.472582559579999652e+05;5.387157727149999700e+06
8.471774638780000387e+05;5.387319411360999569e+06
8.476218203140000114e+05;5.387511411360999569e+06
8.477329094229999464e+05;5.387582148203000426e+06
8.477026123930000467e+05;5.387895411360999569e+06
8.471269688290000195e+05;5.387470990307999775e+06
8.471774638780000387e+05;5.387854990307999775e+06
8.474602361560000572e+05;5.387693306098000146e+06
8.476824143740000436e+05;5.387652885045000352e+06
8.471976618980000494e+05;5.387491200833999552e+06
8.476420183340000222e+05;5.387582148203000426e+06
8.471269688290000195e+05;5.387905516623999923e+06
8.471572658590000356e+05;5.387369937676999718e+06
8.477127114030000521e+05;5.387834779781999998e+06
