2538,3141,442,1029,50553,49839,11986,19397,38838,17402,18579,24260,38822,18885,19493
2239,1356,172,1613,11456,50869,31273,31097,17712,38833,18555,20549,38771,18075,25107
2538,1057,20470,1612,735,46684,19712,38718,32207,24542,19401,25461,38838,24275,38771
2538,14097,1641,1015,9967,50189,16506,34984,18266,38770,19460,19686,32485,24272,19199
2239,3142,11026,1015,50554,46929,24617,23695,38838,18842,19398,18602,31096,38770,19501
2538,2212,167,1314,50552,46682,32497,18552,19685,17750,38837,24557,18296,38507,25107
32890,50554,45083,2831,1326,1653,18840,32219,19726,30728,24273,38838,19686,18076,27663
2538,1357,16797,1027,18082,49388,19685,35557,18841,24561,38838,24259,38780,30728,19500
2538,3143,3955,3731,50552,50067,18613,17996,38838,18554,19110,36104,24273,25109,25175
2239,15392,23881,1029,1054,50629,38838,18007,24838,19398,17975,38823,24584,36104,27369
2239,2787,23090,9690,732,46425,19398,18884,31272,32763,18554,38838,19497,19193,24825
6898,32028,748,1029,2238,46161,32772,18840,19686,38838,24276,25390,38781,19482,18289
2538,1056,13010,1914,50630,24449,19210,38838,19692,18266,19171,25672,38823,24557,31007
2238,166,11725,1311,50555,46932,13972,19687,25118,18265,38838,38781,18915,16799,32767
2212,2239,3741,1315,46928,38378,16267,38836,18552,19686,24897,24274,38820,24825,31104
2538,1353,16235,50552,2831,49971,13704,13931,19399,38838,19514,31376,27944,38823,24260
2238,14280,2541,1028,50628,46682,31098,19685,25392,25124,18903,38838,18555,18000,38781
2538,468,32381,1029,50629,46930,13984,24273,24612,19399,38838,18840,20012,38823,27663
25016,1344,736,1613,2538,49837,19108,31005,17976,38823,24845,31101,38771,24827,19500
2239,460,10746,1014,50630,25016,18911,38566,19685,18552,32485,25672,38823,25126,18584
42433,916,8804,4887,1329,46424,30994,31104,38781,19686,18552,38824,24273,17749,24542
11456,1957,18444,1028,2538,46425,32386,25106,18553,24301,38838,19398,19498,38769,24273
2538,1058,12986,1328,17576,50550,39385,18552,19398,19785,38823,18594,31654,24824,24324
2538,1954,50551,1328,392,46931,20259,38769,18841,17995,24540,38838,24560,31378,17378
2239,32306,32942,197,716,46162,27636,25179,25105,38838,18333,24274,38770,19449,17089
2239,3441,7841,1611,50699,46932,19787,17668,24823,25461,18553,38838,18578,32769,38778
2538,1058,33152,1328,6703,46683,19687,31273,38566,18841,19202,38772,23693,27929,18883
2241,12337,2239,1612,2520,50205,17786,18841,39053,25390,32767,19110,38838,24272,19444
39182,3142,2228,1028,2239,49971,15927,31273,38838,19193,18822,18840,32768,38770,24260
2538,1913,5370,1028,12044,46425,31273,15675,19398,25391,38838,18841,32773,19188,38780
2238,1365,8715,3144,436,46933,13624,18001,38783,18841,19686,31006,38837,24274,24609
2239,759,432,1611,50627,46683,17377,20073,18553,38769,22265,24899,24844,25107,38838
2538,19,19501,1029,13805,46162,24827,32386,24330,18554,38838,18536,19194,38780,32210
2538,1344,21404,1027,50554,46425,31273,38825,24378,19706,24260,17956,38772,19207,37200
2538,3444,8161,1313,50629,46683,18324,24900,19398,19711,38838,25109,31286,19172,24274
12018,174,33691,1029,2238,46683,24617,18265,19686,18296,38838,24543,30727,32761,38771
2538,32874,1329,1913,762,46683,24543,31273,18600,38838,19398,17976,32764,38771,19448
10867,755,50552,1029,2538,46162,14213,19692,25106,32494,38823,18554,38838,24272,18291
2239,3742,24842,1314,1030,46683,31272,32486,19700,17499,24826,38838,18618,21980,17956
40290,2538,1048,1312,2227,50201,19420,24822,31097,38770,19111,19496,27663,25140,38838
2538,757,6902,1612,50631,47620,18073,23413,18841,38838,19686,31662,18308,38823,24334
2538,1657,24842,50551,1015,46931,15660,13930,32488,24543,38780,17087,18554,38838,18882
1244,1956,50551,1913,2538,46425,26246,14221,17668,38837,19130,32768,38780,18283,31562
50471,2511,2538,1612,2842,46683,15397,18266,18822,31378,24258,38507,18864,24274,38293
747,2538,1963,1028,24449,50630,24897,38838,18840,19462,19399,24542,38823,31096,24275
