4778,8133,27433,38993,11819,16799,33880,37013,10517,37048,19376,5155,24034,43252,11120,44755,49509,22047,39931,35599,773,48590,48831,27631,7160
49104,15555,1950,40520,2939,30913,11725,29854,13442,43833,23306,27211,10500,38857,39781,9567,48785,22194,3215,27663,46894,8000,40106,14655,2766
17933,12114,50568,50082,28589,45208,29671,26297,17044,48796,22129,43901,29960,41525,35121,1987,35212,37680,17610,49127,3187,43387,31180,48939,11726
6053,14367,36942,10193,4983,16436,18623,7951,39622,48034,25948,5817,1099,20577,47329,35468,24116,45924,23690,37708,46825,18856,35956,44218,13132
32190,32518,50277,8250,37568,13322,5294,7195,26875,2783,44140,46644,32715,6014,36468,40491,48208,4412,10697,21540,21668,7238,32273,15937,29607
30777,11299,48207,35166,23789,16182,45011,9188,6228,8817,33826,22511,9274,14529,29961,17136,47318,27355,24377,18959,43139,27971,1564,14948,7319
22310,41203,8374,36900,27015,45030,26818,74,46714,159,18748,8057,1821,13024,10512,35570,43101,11960,36444,24165,10284,33560,19037,21944,1466
18496,45143,26562,29430,35349,13824,29476,25406,6300,13531,15067,16963,39047,44414,18750,49251,35484,11991,37715,35457,48232,47258,6314,33852,34927
32398,48238,34856,37069,32330,41742,23159,46656,2254,18731,46469,22507,31106,2716,4651,25286,34340,5451,13632,38310,39366,23729,17131,1159,3493
47904,39355,7274,15407,40926,24088,10188,14377,43572,23997,4447,44921,8299,47145,32365,33983,48291,556,4969,14,49949,481,32025,45499,4109
11503,6237,45751,49279,198,44938,45748,15770,29568,4742,45134,27320,25597,40738,21943,38184,10062,41042,27380,9582,29916,451,29698,3988,45219
38375,39184,21200,29755,35814,19932,30646,8972,14588,46266,48706,23393,19686,3851,35069,7357,48987,20462,7424,8513,24844,5116,19949,44358,28820
3819,4061,27743,37959,23365,42111,5179,12565,30669,9211,16684,27786,47992,45235,10878,35175,793,19306,3114,39825,25704,24464,6727,20259,23776
26597,995,4278,36053,1424,5704,47117,22120,46447,12809,20932,26163,16512,47109,11230,34532,6430,3449,4891,36168,32925,1324,4941,16466,21031
47678,13435,22382,24570,33341,7766,5437,30565,19415,36469,47390,50583,9965,39927,5689,46723,19513,24174,17761,2174,49544,20318,37277,7178,41628
10150,44817,4937,5992,118,25481,1532,1615,2042,33983,8203,35278,31224,22166,21555,19392,45873,8969,8792,36012,28409,41039,18690,41449,26794
19659,7324,16055,34567,40438,7303,10726,26499,28704,23088,5469,32369,2674,8870,28184,18185,47898,17957,44274,38728,13207,18696,25530,39294,38553
42608,18781,38752,13115,50091,15246,3387,41649,8676,8253,21891,24120,6379,32376,31946,16487,29477,23094,7897,45667,22981,12248,50514,6814,20915
15976,18839,24087,3691,46246,46321,33791,5045,20905,35783,2651,18290,46680,36771,41194,10860,33041,34952,20190,34708,35586,5541,46496,2203,7955
50001,20422,41495,690,41922,24524,50873,7121,8322,29656,16735,27338,34353,26484,41776,22420,46001,38881,5732,4280,14186,32663,43522,42184,5699
31300,17298,47738,44851,37826,42522,15573,35790,39064,16025,48592,50215,32809,11705,5675,44610,32605,3158,46026,22676,1606,13367,15400,27817,30649
23052,44007,5476,7606,32915,26507,28197,15521,11478,20765,11738,49346,31369,3740,43750,2575,34933,34377,45649,13995,39119,33699,2547,10940,14919
35981,16557,48351,13693,21531,19260,15944,40480,46719,2486,683,46642,25157,32119,18729,7625,5671,25950,29531,11753,25987,30785,48663,19270,24595
10872,9625,28892,31301,8067,47551,30827,4647,29700,5441,44179,24189,16604,49058,14045,7351,28992,1094,19089,38449,27253,39354,7236,36027,4442
32463,28151,34604,21374,27838,21174,46636,24154,12970,32285,43392,22275,31817,31589,22718,37210,18929,33551,24398,43605,27258,33884,25187,22158,26528
35437,23357,15700,1002,22728,29974,28113,16629,4069,120,36554,40723,34693,3306,20259,9577,40042,34855,22625,24759,38866,40663,6422,43034,33827
40777,25068,45350,17556,20054,12082,35885,6389,31224,3981,39012,40673,43010,3487,11497,34809,9757,40180,40801,16309,5662,11825,22486,39829,2134
25154,50653,3052,14958,45343,7168,24146,13334,21980,15657,9048,34351,46554,22392,27289,5158,14239,44437,34495,26204,32159,18285,4989,41142,16425
10674,27109,3257,31774,31845,18934,20943,41234,50119,858,18295,46572,4743,19420,49711,37230,12468,37760,16091,24730,37935,50844,12111,6520,34768
5424,6618,11653,47269,33424,21889,8262,33713,21119,11200,42351,25797,12678,20900,11580,18926,47460,50464,19046,14926,34961,9042,50109,39111,29536
49976,39703,9082,47516,15691,15775,20988,24462,26981,19643,7150,9888,23931,38482,646,35751,9879,23723,43103,16900,28198,22087,10998,48934,19873
22842,17055,14304,9035,27681,32166,48655,47063,19893,38726,38361,38802,43892,11807,42609,8830,39183,22370,9292,8508,9641,42632,30260,23500,6347
12832,30709,49794,2556,11703,27477,7294,30550,21484,44145,8220,31528,41987,46246,32843,15634,38624,1474,47946,32669,23547,29691,17363,21900,38107
41756,36622,735,18664,1392,8276,18465,30084,44058,42082,6097,2664,38310,19934,21437,22806,32439,8460,12260,17937,42666,45429,1776,31975,677
36018,30193,30369,4914,46618,6374,4036,26927,41369,33891,20138,29306,39819,42648,181,16481,24746,24418,4633,25152,35991,38744,27537,9252,21882
19497,26943,11957,11878,42752,20429,43943,7199,42903,49268,2221,27968,4350,25049,46355,18067,37601,18897,28969,20365,4906,16969,34214,40613,49081
33326,47940,18392,9771,21628,45819,27137,8089,7101,36934,13841,48674,40842,20177,5010,32505,17650,32835,17901,39831,2959,22409,26418,33172,18550
47733,14477,35667,43498,9115,47813,3483,30544,3390,21990,24549,28819,22134,29054,50785,37240,7439,12296,45392,13319,49842,40037,11044,33468,3446
38173,26685,23655,24219,3543,12093,24979,31793,32768,17223,28354,17103,21073,39145,1936,22766,20382,44508,40435,26182,46824,14857,23365,43131,13222
3599,13278,18362,18797,41912,3587,36332,3294,28855,49175,34633,38616,44577,31944,28,29952,26930,41666,39321,40065,2123,23388,48768,26348,33383
33847,33554,965,50585,31908,10529,19244,42454,6185,34489,15935,4272,45041,16561,42434,1232,40516,26807,11262,28056,14591,49144,28391,3125,21347
46778,36893,49769,14594,46753,34131,6825,45847,26318,27618,29504,48830,12656,24017,5371,34105,31840,85,45244,18044,17367,2143,21315,14273,23841
50026,47307,44231,13169,11218,31336,37533,18246,38174,33644,2835,35552,48688,32764,26016,17154,32106,50540,20497,32591,49979,3862,5790,47020,28925
13898,24269,7975,46656,44716,19124,27268,32731,18658,7690,24735,9523,39214,39265,4403,18785,14538,40023,23577,7961,8389,2999,22412,32573,5699
26415,9951,2884,40308,44099,32088,15030,41722,45406,21159,13422,2788,39374,28425,24603,48460,25914,13816,41825,47088,49890,29632,49326,10574,40747
16817,21124,16700,32177,20213,4519,33271,31957,45315,3998,28052,5510,4903,1090,7269,29145,7562,11728,28679,39674,4377,39717,24044,22921,3198
17095,43559,22415,28032,17548,36021,17525,26333,19840,33975,3416,26880,47895,32652,50594,10253,18946,32102,7350,41383,42364,24992,21519,14539,41800
30432,39763,17468,37338,24476,29277,19787,40412,28865,47308,42461,2518,37878,8539,22712,40157,28875,36124,32757,8893,28754,37825,36840,48496,44921
8612,13665,31153,28237,44008,35200,24458,46218,46108,48562,3799,31056,13113,49777,23299,38364,49559,39996,13852,6510,40572,33733,34705,4068,10020
45297,1369,48359,48877,8622,41164,34216,43591,2766,7593,31597,40453,41317,28795,48198,38102,5698,18464,15655,24249,42849,33482,14042,28684,24900
7845,19776,570,44482,49189,24306,18729,19578,8460,14750,6148,31775,42006,44696,43056,38999,47587,49732,26401,39214,50474,32860,6703,46817,6199
24370,37345,37433,42283,20258,13025,37156,36895,14251,17888,28268,46358,40894,50349,48236,44980,44145,14985,14488,2818,7061,39476,1883,18069,21232
31509,28798,33488,36656,44613,1396,40147,41867,16481,21601,20201,4585,41674,40945,35479,22015,13084,943,30749,50033,14966,26203,41381,49184,18347
7699,28557,5579,24909,47284,46121,17243,39769,17762,1746,10764,2466,39781,45613,8617,8266,25540,49035,45751,47238,46170,17736,24755,36331,32641
4453,26445,6104,5368,35052,45903,20520,27770,37849,34893,48847,50067,7622,2013,39794,41945,4329,7393,45390,24148,46917,43819,21939,21441,11600
18714,48480,26539,35058,26312,9562,179,4903,22502,4885,49671,14189,30622,37902,49066,1494,6260,3039,37312,14502,44384,15552,23269,19673,44717
50832,18333,38287,27900,38861,21712,29578,14414,49208,6284,13177,2049,14942,1543,41876,31456,24181,33737,46703,25557,18064,27220,25953,10418,28778
43241,39733,36461,3987,9199,17535,37652,30392,43271,28532,8431,4956,2073,4975,30778,31127,45774,40194,45608,47222,25628,30085,28489,41737,127
12086,27722,45273,30337,25322,1873,30059,42720,30563,20808,33177,31752,19305,37635,7682,38364,20815,34569,34932,46384,5425,14946,3987,34677,29029
43539,19842,19226,41500,36625,26042,10024,31831,49771,4757,30609,10443,14364,41605,41198,19176,16667,17964,4987,16897,23969,7845,23929,37407,24452
21577,30233,49726,40861,1891,21014,45637,9737,32346,9176,22478,7916,20309,36866,16937,15897,4976,23705,37649,5342,4260,20001,46617,30309,21686
9220,36328,46509,46908,33160,24877,29123,2560,39982,3340,25576,49105,28119,23936,29823,14816,49798,39774,34688,16057,5142,1005,26643,32679,25617
30851,1999,44002,38462,36031,50786,8171,7105,35731,44552,33907,40300,43790,27351,45856,45408,30609,4788,43052,50316,37995,17066,49490,13377,14376
22397,10052,35674,16639,21279,32182,50805,43364,46667,17896,28682,17769,7166,47869,6576,7524,4814,37675,22726,44665,18032,40762,49231,32369,6544
43044,21453,41098,2442,43355,9538,32634,34460,25100,42426,12324,44566,20303,19968,33483,37845,43776,22113,25942,41075,43251,21185,46001,39685,25418
21977,25111,13293,24852,49794,19795,38735,19357,48051,10803,38731,11250,498,11233,47580,40437,46501,38013,26017,32272,16340,28701,43003,28889,33255
49557,29380,21162,37478,28534,13861,5518,45645,31027,43337,46717,13151,6713,814,33868,32034,7740,26391,34485,43401,13857,20178,19064,13218,27444
7693,14064,5421,25941,47731,28102,35115,48862,15626,47425,8339,2706,26674,35168,44017,8290,13974,48716,50070,22503,9768,2722,48496,18303,26254
