4067460,10329618,10467162,8276,8343913,2140360,9724859,4918451,12393868,4909113,11316717,6469148,3680818,1701688,5349819
8881423,7488657,11263555,2250620,1299921,10143173,8136161,10189378,9144849,4164537,11766158,6886202,2268072,1278930,3700320
9690507,1618731,8303280,9842182,6330828,11440025,1484883,3339267,9859229,13083690,4947078,10426758,2510223,10628248,75652
13353079,12041099,4843876,6410687,9604280,3826362,5893829,8423924,9299887,12062868,408488,2976579,4696019,9811406,1385657
655086,3147364,1337738,12793226,12379781,1015052,2466151,4865686,1370627,7728093,3505598,7316273,5204359,2294344,2279691
12284775,12800351,6761046,3629980,12107965,12387895,8720915,9996914,1478455,7935636,12672456,6619545,6600253,10569287,7201162
8665244,12095801,11981460,6246666,9379784,6593710,7653578,7434516,4303665,6393150,5765783,1325497,10773003,4406706,9168789
11104891,11650689,3541808,11107336,11749169,12447002,6239581,12511728,12827916,650564,6553568,779687,3608321,5946424,614761
4135469,4708095,2995858,5407934,1243692,5115407,11082478,409791,7795728,4679210,2373315,2778804,11309026,7500316,4227297
2756179,4612711,12256727,12235751,10321733,8226210,6855976,10496054,4802297,161003,580483,3533899,4056887,11356675,743100
9460594,1226565,2439485,7917742,7496045,8491214,2157033,5064367,12394206,12540655,1928028,8879966,11519581,11174933,7347942
10752124,5609239,13244717,5263669,12519501,10067611,4651657,9290991,1542035,6151348,13048246,9598301,5255993,13130700,10052842
360700,6411906,6908979,12925866,5331693,8182093,10775301,10843052,1115419,13353493,1687068,2930053,7402038,5532919,6538191
6498546,2747641,9528766,7254771,5207923,12327161,13345891,3511098,13105796,10877766,2121145,318920,13054800,10916967,8693983
12311748,10197435,9112854,12803873,11339499,587964,6016463,12752430,409286,9016235,2875855,8971919,4766373,4666306,921580
11391253,3004317,406394,1145908,8668474,7420584,9788240,2830486,2740345,13324625,1762970,5233949,8240705,2059006,2215894
1620970,5410676,10156315,7090290,11105364,11234514,2041138,12518208,622808,6010035,6893038,8428686,9479270,12961349,12216176
4933756,8972381,8879781,8832655,6729162,7105094,6548326,1997200,643533,11978243,5392110,3129803,243115,3342014,12613674
3200328,5430935,9690741,7956529,6009050,11148821,2391376,6845646,11511536,3121644,11588607,6807801,10950668,3552994,3519829
6258258,725292,9316727,9978756,4902440,11558128,9575486,7403202,7996893,6303619,12270872,6280705,5767203,7207037,12226209
1372368,6166265,1511868,2019221,3427987,9895673,1151988,5095676,8317875,8881181,10433581,3439409,11803300,10444483,11255804
3025491,2648845,6834481,8473209,9479324,11089327,5059638,7717781,2494643,12734648,212450,11935622,11134937,12432099,8769895
11129384,5298677,10458877,6265254,10654079,540535,1128116,6514343,2880294,11218239,6343681,8687288,255825,9710315,13350197
1598392,2215257,5821689,5539371,1947572,11191530,294302,5049072,11652071,7303171,3451180,9933340,12804319,9874539,5088779
