29744,6897,26268,13997,32691,26265,15130,6048,17918,1683,19532,16369,27262,25146,18386
16650,33183,38308,43136,35883,28661,30374,3901,19019,1554,2060,50697,26755,46256,13306
37097,33282,39384,44790,36443,29075,44321,42241,44959,47218,10214,11878,2237,45017,29556
16505,31208,434,15176,34763,28133,50059,30632,24468,49468,6629,43805,38194,27419,13523
16497,36125,9135,22279,9337,23838,40649,6059,5535,34236,46128,6832,16868,49272,48382
19047,40697,34292,14139,3842,28520,50166,35132,18474,25398,24847,24639,39743,38762,25344
39569,16184,38971,15918,20539,7323,32201,39454,50290,41107,9149,10669,35016,25904,33323
28201,10896,49008,47647,8267,18288,15714,50168,33635,9996,24231,11320,48917,29457,18727
6613,16328,47551,34015,1330,15968,18040,26090,9505,45427,1959,30547,43243,48770,21788
50007,42868,13053,24859,21072,33238,28738,36623,29532,46488,31955,30323,18046,28977,4396
30566,50185,47938,8402,141,9881,31460,44579,12630,30810,5030,27595,26598,35914,1952
27260,4146,34044,9260,21088,50605,15609,4887,29941,26867,15049,17983,6730,22049,36297
36075,48271,46376,47984,23114,41411,41547,41581,50309,25614,12563,14326,24226,43512,20804
44581,28601,27915,37028,34035,23442,15936,39967,7788,7524,47160,37041,30231,17559,43099
22013,997,47686,28612,37868,33448,43238,17338,21970,14324,34711,20714,27036,17612,5415
7720,35167,40578,37393,29946,25361,28157,31121,42109,262,9550,35601,48369,45902,9797
240,33598,23068,41568,3648,50715,25590,9909,9662,19023,34196,39985,31080,14291,33702
29927,14448,41122,39940,4549,50860,1447,6481,25840,40812,12931,247,31351,43906,49166
8319,34273,48911,4680,12100,44892,45609,19483,7489,39164,15907,41941,19241,1094,9083
14825,13853,27446,44437,42868,15353,41002,30105,12062,11192,21924,30358,15726,37345,42471
21951,37397,17538,35661,7661,23774,15326,17568,40632,144,11041,41513,25118,30170,15515
15396,4763,25390,31027,27295,46503,49571,31479,20234,48720,36803,33811,42134,9224,33074
27855,46965,46734,23517,23093,12117,43925,24465,39866,50430,15718,10538,41533,11364,27957
31319,34877,564,14539,30801,19533,41918,25681,18519,38066,5250,37297,8972,15202,46045
17329,5839,25784,39919,9154,18822,2113,37218,6142,36333,35681,26513,25327,14917,48227
4888,37069,22329,9485,203,7945,40428,14168,50778,16854,47130,24545,30550,3521,50277
37192,3488,4435,25500,1490,8649,3334,50202,32170,37629,20690,37658,27158,46316,46924
45099,26134,3826,25374,44463,46018,28838,2874,8926,40855,3403,43490,22596,3117,16991
33321,32350,18752,11889,22457,6593,20787,5931,46334,50072,21880,26391,26705,43994,21333
35257,43230,30933,20869,44724,12524,12443,45982,23062,46695,43372,35375,2382,4338,12279
36797,37217,30791,40989,10435,47576,38557,9993,32454,12927,35208,38446,10772,16246,42350
13234,30543,27569,35526,18514,1049,35291,4182,32420,21185,24825,35836,31339,32446,10566
470,30483,41148,47666,21743,36820,50354,7091,10447,15169,26410,12649,37053,29216,11891
198,30861,39480,7113,42478,47455,10548,6858,16112,50750,42171,34899,2944,2683,38504
