2538,3142,5704,1028,50628,46425,14254,19399,37742,24897,31280,39043,19219,29730,38998,31325,0,0,0,0,0,0,0,0,0
2538,4044,22806,1031,144,46682,31550,18842,18911,38838,31104,38495,30761,39262,24380,11961,100,56,12,0,0,0,0,0,0
2498,458,2538,1028,50554,46932,18911,19398,31655,39043,31007,38293,24300,13930,38990,24944,74,30,0,0,0,0,0,0,0
2538,467,2511,1328,50554,46932,24919,17963,39042,33045,27087,38718,19738,17205,28540,39655,11587,87,43,0,0,0,0,0,0
39474,909,3144,4887,2211,49970,30995,19398,39042,30815,18073,38838,24584,38719,17154,26364,0,0,0,0,0,0,0,0,0
2239,1327,4454,1314,9690,49936,25172,32772,19685,38780,30728,18647,38719,39925,17136,26649,0,0,0,0,0,0,0,0,0
2239,1029,5112,1314,3142,46162,19687,24664,30728,25459,38836,38718,38782,18005,17193,0,0,0,0,0,0,0,0,0,0
24456,3144,6599,1028,2239,46162,18266,31376,38780,25388,18615,38838,25717,38718,22954,0,0,0,0,0,0,0,0,0,0
2197,46930,748,1029,2538,24457,13929,31552,18331,38278,21123,38770,30568,25715,38997,31635,22390,73,29,0,0,0,0,0,0
2538,469,3917,1014,50628,46931,18858,31380,24537,38838,19487,38779,38718,31864,26016,24948,16212,0,0,0,0,0,0,0,0
2238,747,7838,1912,31750,46162,14220,24377,38780,32494,24826,19482,38718,39383,24587,31866,16503,31811,60,16,0,0,0,0,0
2238,1941,732,3123,24173,46425,30147,18553,32767,25460,38770,38718,19500,39382,31863,14825,26645,99,55,10,0,0,0,0,0
2239,3442,5703,1913,3131,46684,30714,18267,31099,38838,17785,38447,19753,38782,31317,26085,22532,0,0,0,0,0,0,0,0
2538,1058,34798,1913,93,46682,19398,31273,31375,38770,19736,38838,17787,38724,31318,26081,49,5,0,0,0,0,0,0,0
2538,747,13704,1328,50554,46683,13347,19398,32216,24325,38780,27383,24377,38446,39111,26772,102,58,13,0,0,0,0,0,0
2538,1657,13404,34245,1027,46684,30715,18251,32763,38769,18884,38838,38719,24654,25419,99,55,10,0,0,0,0,0,0,0
15077,1363,747,1028,2538,46683,30994,24894,38782,32208,24561,18934,38718,38838,32982,16575,26926,20242,100,56,12,0,0,0,0
18,50628,3741,3132,2239,46425,18841,24320,31282,38838,31377,38510,17789,38465,16295,26083,23385,0,0,0,0,0,0,0,0
2538,3443,6348,1027,50627,46682,17694,24046,24822,32485,39043,38838,18644,38719,31864,26924,17069,46,2,0,0,0,0,0,0
2538,4041,25615,1610,3434,50094,19687,31274,31099,38838,19192,38769,24301,38992,24662,14220,16344,85,41,0,0,0,0,0,0
2538,1956,2229,36177,1614,46682,25956,39042,18555,24657,18038,38838,38718,31095,31319,16346,89,45,0,0,0,0,0,0,0
2538,468,4881,1610,50553,46683,30817,19685,30994,38839,18599,38771,38719,24379,25985,16330,13043,64,20,0,0,0,0,0,0
2538,1059,8162,50627,1031,46929,12169,19400,19498,38823,30450,25458,38497,31126,38718,90,46,2,0,0,0,0,0,0,0
2538,13807,747,1612,2513,50067,25947,31374,39315,18841,38566,18334,38173,31590,24660,24879,87,43,0,0,0,0,0,0,0
37272,2538,759,1028,1329,50198,18568,38838,17499,24540,24889,38769,31657,38718,31864,25799,16209,15424,100,56,12,0,0,0,0
2239,458,8164,3130,50627,46932,17112,34705,24543,39041,19198,38718,27199,31865,26588,18378,32367,92,48,3,0,0,0,0,0
