27132,31015,34563,23341,2825,12734,50490,9610,15302,35607,20650,897,29892,22274,33251,29487,13257,33930,33854,26675
42448,33463,11294,44437,14284,12751,35593,23175,36042,16579,3154,41627,6579,3446,42614,26900,5162,40627,12329,12225
49282,11571,28213,6314,46624,40349,30595,46776,11700,46081,1267,7033,39250,39044,18206,31668,17873,42931,44821,304
43090,30524,12318,18692,4113,30079,3126,50870,38347,20228,47189,17682,41246,35804,26879,37568,28577,29896,40010,32447
44058,39397,16611,14601,43542,46820,37893,15444,31376,37673,39948,28590,2951,34555,25941,45198,32063,19754,15867,34702
526,14322,32105,4384,17546,8,16530,11083,45014,2473,21559,4332,18759,33724,543,40193,22111,30162,47744,32879
20044,15067,42805,43903,7459,21618,27815,16367,45995,32857,37301,359,38360,34477,181,38546,10837,43382,47195,39245
15630,14956,23783,43900,44621,39263,26302,37948,3590,1060,2836,37797,15926,2577,43191,19616,15088,42735,32986,46297
32697,6323,40710,11875,41219,17111,10992,30818,45934,29461,14444,32212,27748,28273,25155,16102,3148,39493,10402,18027
34690,16167,26768,37279,50170,15438,33328,7969,16040,1402,29491,42966,37232,10007,19955,46906,35942,14964,43983,16717
29214,30132,14624,26358,16860,38284,49493,28672,17935,14812,10444,41983,7475,48567,31847,39590,18489,33706,3135,39054
36825,21693,5046,15722,44479,47815,6584,8146,42359,37266,34142,43911,9312,19402,25827,4380,34103,23789,19840,15068
33240,44020,31798,33262,28788,10268,24929,46752,6663,44667,38329,3389,50794,12245,2560,14924,45743,16941,23028,5575
40174,26097,6127,12756,16615,16347,13377,40305,19123,20548,43308,834,32747,9054,34231,42397,37965,38722,19699,4626
23851,25945,5846,30953,43376,37741,45764,4548,32308,10907,30837,40688,38787,44662,13629,20480,25687,18653,29051,48298
16180,45195,45907,15820,23321,21353,13846,23891,11614,25742,38996,45683,46078,25990,7185,43227,36871,38619,16708,19053
14705,48199,26386,18887,26603,8333,16388,2561,2272,31658,17412,3486,20433,40482,21551,19731,17061,42825,9161,27614
6919,13930,29197,4600,50452,46164,20323,17945,7738,9981,45726,44368,38358,12863,18884,24811,37358,16622,13561,49404
15463,17980,34609,7864,44194,48893,15321,15533,31071,7943,40830,6760,50420,5527,9503,10074,46908,27115,48952,43558
25852,18448,27435,1244,783,27712,13250,45355,31449,19774,11178,16171,16343,17962,30629,43546,38897,19112,19212,50478
40703,27837,47619,12415,18699,41660,3760,32059,34458,16939,50519,24101,1956,38348,45537,17829,13336,3589,8027,46046
12359,35246,9881,6024,36667,13199,32296,46716,31557,3935,31822,8287,45157,25591,29425,26237,20608,6350,17034,28118
36921,14869,46132,38958,37518,32939,8090,29147,1683,17703,23643,50217,34954,22041,35312,37063,47474,23507,42951,35674
46623,29673,37302,45370,33861,22497,12181,14960,32385,4761,34134,13603,27224,18583,11586,30014,6116,25959,3195,19718
46031,16708,37459,2467,25028,50648,31440,49780,1539,8883,1389,41184,29391,45877,22630,7581,13339,7936,1700,21699
29867,35444,10598,1604,17155,14869,48939,12786,49146,10714,22481,41399,32085,29105,46898,22447,2453,16240,2700,13373
50023,44061,35238,43372,23693,30420,4758,36785,10606,42657,26630,26758,11934,42545,38723,264,19982,19914,35636,17972
41666,43371,10938,43758,40735,3786,16217,22522,42288,8673,43255,18767,28062,6887,23819,6972,10779,14502,5734,34694
22122,36833,35532,4109,47120,10389,3972,13433,36576,14703,50331,40179,46216,47718,9328,24752,25728,29140,50102,8785
31186,10575,17461,49466,50464,24062,30807,13151,43816,1549,26449,40084,10281,18551,35052,46232,15706,38550,47325,39498
19621,15143,28391,14133,38920,16575,46675,24550,11080,16286,35480,32788,16020,3973,35321,18377,19166,50664,27109,25714
32099,40789,27452,42735,38713,33744,12930,49454,11278,42183,10667,29228,36175,43038,18563,37614,35695,39965,30438,27107
29183,16728,36552,20510,32448,15896,18059,5848,26705,22222,40184,31340,49890,8851,47557,16167,6653,13477,31560,25306
16700,28721,8380,31045,36777,24957,2608,31250,42387,22819,34642,27245,22596,49526,36456,835,35698,50738,38042,8939
33529,34810,11799,7069,49557,416,15221,39138,41501,22406,11629,5160,7041,20582,166,8743,43601,35056,3744,44981
16281,14803,30025,41273,36716,4064,4028,21536,19484,33776,2090,36645,28238,30609,35152,23596,37637,49473,42160,6435
25148,9536,17991,29816,44951,31632,34741,33229,45349,40633,12598,36458,33679,47386,43809,33150,12854,49314,2382,12440
2241,41257,19158,117,17421,17376,36052,9712,14687,13085,47434,2910,13536,33273,33672,9100,17419,8552,49846,20841
41925,37686,705,36700,14990,25670,18263,793,33773,39523,39451,29742,22892,14159,7367,45883,42532,41303,13418,31687
22409,32324,632,19022,13476,5423,18807,36403,19242,38404,10072,45061,22726,47362,23391,10459,44898,29948,18244,31056
41712,28337,546,24025,40757,15486,6000,5068,32690,3383,15335,18992,33215,29791,33501,31022,8126,36688,12686,32122
43508,4566,26616,22554,12995,33423,25681,6378,13755,20976,15787,42755,45343,6632,15548,37834,29628,41341,49788,46027
26142,41678,40460,9110,24320,3701,43885,49761,18831,2983,13604,50751,30329,20905,27769,47665,32775,25452,24769,45065
3706,41960,36204,34686,14226,6621,29771,40021,37002,39401,7793,44507,50521,43523,46973,5547,8511,35144,28515,32623
23013,11671,14465,22254,2255,45050,16261,34781,46628,1771,14457,48281,18265,25218,24660,37500,48272,24459,10652,11757
