48644,2471,5907,12806,43583,21776,763,19509,9004,10851,29882,34795,33273,25810,9564
36005,1939,46240,17132,40947,28074,9710,46967,17092,9401,32687,23528,10514,37228,44339
37068,45297,46062,50859,38039,3611,38027,17459,27978,11858,25448,14068,47314,17094,43574
35255,44492,32634,5817,11093,1537,10240,32318,43089,42991,4833,9845,40491,5456,41031
47992,6120,31836,27578,26073,14900,17484,26579,11069,44264,39150,43093,769,37762,16863
9813,8786,3162,16465,2873,20026,18022,11406,31624,38791,5376,1268,16537,13889,6190
23935,38585,40054,39894,34384,14816,23505,40048,30377,21915,7088,478,17489,48496,40308
19760,23219,33725,19146,6195,42876,24318,48367,23795,8916,48398,44832,25292,27786,4706
38931,1471,8332,27139,21304,44507,34083,27428,4128,21377,25582,24518,17112,37804,28237
23062,27938,26867,959,42245,27259,20955,18045,17671,30129,37998,18311,33103,34488,11853
24226,42295,24420,15224,21369,36455,49676,24570,37729,50866,1808,1338,50196,20572,39668
33419,25759,11532,2097,7724,22941,41284,39784,4854,30822,48426,3489,37284,50309,22188
1985,46977,37071,11661,2666,2653,11679,47538,517,8255,35335,777,21368,47933,5959
31686,25618,22842,45919,14217,1389,31267,41134,23066,1878,2817,11042,33632,21815,47152
43914,11016,12806,37892,4367,28825,50672,1002,41977,44058,24276,902,11791,6416,4604
1375,18454,4619,12577,24037,37086,40099,44888,18773,15295,44214,9524,12858,17533,1450
21441,30402,10414,30888,5413,43824,9909,12828,20856,50466,32831,24161,39944,44202,32617
46818,50225,25997,42162,13478,14178,15237,30144,2435,26495,36709,45292,4944,3308,22961
39158,33998,22777,17770,8320,44086,43601,31898,22852,33593,8856,22240,17471,36194,44538
45569,37356,15512,4305,14686,45821,32894,48110,35687,35692,32050,41200,10120,13300,31523
10450,12111,11970,25772,30148,2943,46672,48068,12219,49278,29278,29433,10795,24126,19444
11126,21767,37768,4773,1682,47221,47535,30845,42579,8410,23696,2228,47834,13248,8581
12743,50607,39042,25675,10320,2811,8087,46114,15877,38449,35386,46179,17128,48581,15609
32075,25876,19160,22573,34484,33999,35594,13421,4926,31761,17291,21873,6927,42348,12244
29751,8871,37231,1368,26940,15466,1789,23480,2072,9785,18739,19641,893,35468,605
33659,46256,46796,14112,17644,5008,13588,25665,17089,49930,35749,46752,30754,31108,5929
39158,41139,46744,12559,4697,20283,43369,21705,37406,11138,49843,43757,42290,25692,29378
1261,29049,33394,23903,7979,22398,3555,21292,47186,6035,43651,6889,26626,25843,34829
310,32584,43732,28560,35497,30,6508,30499,36926,5636,28765,23279,26274,48491,10892
49391,42033,16166,2447,21367,4234,1802,8747,32690,4319,15414,45643,42587,10309,21360
11165,17042,28284,194,49552,26343,11644,5115,1405,50526,49875,50502,7084,9282,30662
31027,45344,25034,1663,40322,5358,25537,23110,18098,44665,30901,47480,42573,22365,46701
22723,17416,12600,22408,48487,30811,6321,41962,9642,46729,41971,38729,47749,34530,39003
15708,23138,23909,39248,5776,18981,28292,35416,285,12463,5168,2954,12342,5313,44794
10321,41665,21653,18388,24736,16109,1709,34402,12088,31320,5236,5296,27653,20832,6626
50403,15849,28351,10427,36339,15540,15503,2881,21687,44568,276,17104,29476,4291,46772
10015,23866,37188,23962,48211,25402,49129,37637,12465,1324,32307,48310,39208,34942,38631
34337,12671,35198,34801,28131,43837,1088,45322,7628,30516,32041,11247,7405,31135,27615
10016,35277,21065,31447,39191,20317,21523,11582,2189,38233,27858,45873,7850,2100,41572
12080,48556,19876,44040,7438,42782,4112,38723,17240,27314,23668,10587,35298,19772,33946
6770,33625,25844,16289,38288,49490,39145,19200,43949,48938,41073,19987,25751,2130,10876
46658,17891,36227,33568,35483,11727,50499,29791,15924,40590,1017,290,9584,29863,32987
7361,14096,22480,13408,10305,32264,1162,23004,19633,17634,49810,21942,42871,50297,37984
15295,2322,40531,26369,46858,46487,14409,17112,234,24876,9102,36313,16024,46088,27268
22714,35514,30406,4460,3581,16626,15982,29285,6504,36845,16209,28253,41343,46799,11452
23059,23932,41833,9986,2771,25544,46788,5712,40966,39478,4935,18285,22217,11303,21192
11754,45008,24527,27456,1368,18429,17047,37460,28154,18893,23700,10326,11386,12016,38823
6153,158,19203,46688,7442,1793,40723,22251,11153,33816,42207,26961,21873,45267,48240
576,2242,5368,41124,46386,4943,26170,41293,33151,43517,22455,27912,8522,6329,43988
23295,32346,36358,17332,49030,50832,47219,13197,6874,11547,28743,41277,39636,5286,45460
4175,17473,50684,6473,30174,4215,20314,37563,36881,42306,34201,19570,25838,26929,9543
3762,10551,37334,1929,11857,32111,30052,23459,36019,20752,17816,31207,48787,8490,27409
46704,46048,624,5481,48612,32752,31728,32502,28505,48383,21107,12534,43017,12767,19110
10154,18789,42155,23221,15527,15878,33680,4535,18485,9817,18852,13432,45632,50659,20458
30238,17786,47321,20328,35500,32245,20771,48586,7460,46647,26546,47124,32130,39637,25877
37521,46276,33732,29919,44916,48592,46124,697,49346,17094,19325,7379,40255,1856,29861
7879,11287,33849,9241,31649,44864,14319,7974,47871,39127,48262,34034,5528,50374,50806
16442,3437,47607,25134,43576,31787,8820,31664,27004,38905,34333,39734,32675,10199,22378
22655,50164,24933,47108,5381,26354,12377,49104,25669,20722,21062,47387,35376,37228,50785
27920,32242,16201,5961,46060,13191,15497,23596,6031,26535,1637,34570,22654,47170,24103
13207,22321,7502,4822,10352,19425,8478,31007,45778,24983,30705,18655,24706,9092,48694
20203,37905,15123,26614,27301,22289,33579,15638,1963,48173,49288,37276,42741,39782,50771
50777,32908,36490,41970,5334,41348,34311,5757,43589,24106,47445,16814,46009,20214,5293
13670,33849,15340,50060,26524,8295,1083,5968,32394,21913,18299,33632,43854,7892,6778
24542,31101,10986,6500,3052,6780,39559,12791,19675,37057,15435,49427,27554,10906,49608
32581,44237,4954,47814,9752,18789,42848,23596,25190,14795,2590,26136,21992,40248,24962
10728,8687,34486,15683,44846,31315,35842,2019,26582,16093,42778,7549,39626,16275,40507
17856,32425,45958,45498,5001,23901,3098,20389,20186,17676,27641,23583,23064,20566,6419
42094,46239,17761,32632,46837,5971,21395,7302,10964,25702,45151,23056,50839,5051,32811
39270,22088,2977,47056,14988,21086,42158,47719,39183,15409,29158,21643,5586,46208,1928
13060,10931,48844,9212,12812,50168,18175,6774,9954,22788,50873,3197,7072,9997,28971
12466,17176,34017,22782,5321,39354,45078,16147,31339,48524,48402,12129,21263,40480,28520
31478,49072,21624,23414,25560,14562,36648,17701,1095,20678,12116,7566,34992,42253,16183
19809,34641,8420,18035,19182,23581,13254,11080,24094,41294,33849,20392,44008,994,1091
34181,6272,40553,48172,6576,25387,47804,10077,7795,15520,16880,33797,2671,23941,37160
30547,6998,19418,15921,1303,37809,34875,26162,2674,848,48910,41222,27609,13503,41203
38419,22692,29262,13235,48562,14205,11606,14916,1698,19108,33403,37212,45283,21854,33282
25534,32424,31021,20792,22831,48039,46639,31558,35306,41775,28678,10083,34717,45603,2598
2135,674,30360,21655,20194,10482,22215,7935,32378,32768,18675,50226,46928,19651,26845
48942,33944,14276,23814,50516,1899,10675,34979,45510,14980,49299,39818,10878,29397,27668
41671,32036,2280,40436,17278,48792,31350,35327,37071,11741,40120,22526,47384,37713,47027
24951,45916,33804,21721,50649,12832,1730,23600,1314,11682,13338,31606,12949,8785,38883
15308,44429,9758,18985,48387,49526,10942,49240,47564,44848,25875,13286,19095,40532,42976
36198,20635,48581,22388,26691,29442,17292,3244,33137,11751,31356,19515,22418,34786,46809
2684,20788,40610,10954,43878,38544,46767,32202,16638,39564,8530,27290,19434,20564,6917
26576,30668,41313,46572,23105,8084,1354,29405,18004,4876,44837,37875,16656,34732,19155
48574,23099,23624,29283,47298,31701,27461,37049,34064,36336,11542,1647,25198,17515,20743
27785,48373,26768,17871,46033,39639,20200,11717,40996,25811,37556,43826,37607,26732,9127
48468,3512,34414,10602,50635,26134,21413,42001,20461,16058,43205,44676,38938,16950,6520
36954,38124,18055,12534,42979,25511,755,49816,13704,14792,4469,26173,32139,37369,13075
9495,17826,29505,29808,15430,27285,1549,25532,12019,17540,15521,28887,39897,49097,26196
1311,11966,34736,38779,14350,19712,17585,26945,22353,7370,2495,25616,37013,34496,40129
15529,20431,24271,32201,8938,26149,12310,4455,6734,11170,366,19497,32806,35158,26991
1402,45315,40736,21943,10951,49600,44990,33371,40528,1380,44319,39577,2436,20974,21311
47964,8466,41071,48985,8126,32061,48236,19235,49809,24958,9489,47362,48766,29081,38846
31107,14252,17929,7843,1249,2635,13175,33173,40506,12270,11403,17380,44584,46073,42520
39117,6449,1492,4148,33010,42163,2776,33311,23135,50121,17221,37132,29200,37469,46737
10448,9495,22213,22727,32563,3302,755,13740,36864,26763,25368,21027,46232,19809,47407
34165,12620,36621,46769,13040,50105,43529,42306,3360,20219,27359,46882,17489,19015,8087
1983,36196,28161,33658,700,14783,24063,33273,4194,28228,6399,46398,26433,39890,47788
34220,3826,41681,13221,25015,39507,31116,22358,44351,29360,20945,43360,28442,48888,41621
16744,21564,6245,29637,35140,21462,13261,49582,9641,29245,23105,19068,20866,49111,38730
6126,40053,34168,48451,9224,30962,1583,21727,43066,37764,13184,47914,32364,35705,24115
10341,49623,42512,23580,20599,21189,24001,38768,50151,39014,44643,45195,37059,43054,3029
31448,48161,1843,14195,30073,18698,2037,13346,22079,17846,5570,25113,20624,20731,45451
25461,11813,2512,50684,6251,29093,48063,6773,29798,33601,16517,45398,1295,13179,20490
1696,28573,13316,10847,41203,6666,23417,39341,28988,12576,41733,13714,34237,12334,44201
38572,4884,39679,13123,43239,50748,19519,31879,33460,10138,21340,20109,33690,5396,6373
32017,17331,16102,22615,38023,25591,5352,10517,9973,25762,32888,10777,49720,43589,33270
14201,14591,26046,18412,25900,19248,2707,23053,3991,38617,18725,21044,45515,50198,28362
11142,32266,3861,10599,1020,7502,30127,42378,10992,14244,42610,45199,50057,34428,2861
38399,41484,31831,31870,50288,20160,2526,34360,50616,49721,15013,31999,50211,39554,24726
47936,12402,4224,5964,31703,23945,1556,15598,33977,1386,28202,40475,6308,1923,5609
12945,6173,41439,13883,44358,13247,11645,45216,26825,18535,17758,11811,24864,23367,47144
39212,46842,39879,27114,7642,32020,9733,37263,10192,48025,29013,7357,37670,45008,5413
19454,47917,26377,2172,43139,16447,43249,38616,16745,9435,32060,11060,10116,24627,3395
9971,9349,3496,50696,41457,23717,39590,26041,37926,38556,41868,37201,12730,41190,11360
29323,19707,964,45275,17199,520,37274,45920,1701,27144,41797,28604,21984,34635,16284
4810,46906,21578,5949,11974,3490,38247,34301,39546,14332,45797,14800,35040,42972,45665
3163,19679,42950,38741,40113,6943,4572,49797,43398,40496,8133,6425,10124,14941,39752
37052,21813,15739,4827,48171,1420,49549,16183,8072,45549,41826,16062,13024,5894,41216
3314,16446,8547,3370,8775,24463,49375,46451,3012,14869,22940,36097,22514,30664,3342
44983,4667,15019,20176,37057,44526,34569,17700,1607,11627,18499,8861,12052,18367,40618
33377,47367,9803,37701,21854,18160,32291,11334,28962,12633,39113,29545,24182,46252,3040
38152,44999,40677,32501,26709,19856,9359,32473,528,9507,10007,6749,4385,22343,20749
22180,10543,1264,4340,37902,9774,42435,8171,9705,48025,18646,11082,15061,48350,6194
37132,12205,26836,3207,5525,1065,49615,32308,7228,521,7927,41443,18171,23159,36025
25494,4588,27709,33265,5012,867,20580,26888,21442,43542,15355,28004,42703,49031,1585
4670,43497,3326,36393,6600,15987,45245,34084,31183,16473,42771,35769,35363,22059,36511
26583,84,12032,257,37035,25052,7431,47248,26532,40330,35229,48543,30165,42281,2551
11946,6736,9705,50241,39887,9903,12421,16828,33953,15461,1398,780,49537,26587,9898
45003,7599,47205,39454,31674,44691,32808,5311,47463,11702,35780,13304,8757,27034,17518
36400,35494,46340,34685,20993,33353,23063,4480,42021,15513,40139,43268,38168,12284,43708
31926,5492,28175,33355,34483,33094,4450,31401,22361,13188,8927,41017,47862,28040,43481
