11456,2239,3443,1834,1312,50699,50092,12199,32767,18842
17865,2239,1657,5967,1613,50627,50198,20837,18843,38829
7320,2538,1357,19426,1613,50699,49050,32766,19688,24275
11456,2538,1658,12177,1613,50550,50069,18558,38837,24274
12922,2538,3143,12571,1912,50627,46681,25670,31273,19397
159,2238,3144,10831,1613,1328,46681,26798,18580,19685
11456,2538,2841,32390,1914,50627,50198,15081,18913,38014
11456,2538,3443,32661,1314,50766,50071,44440,18555,19688
7320,2538,1352,25614,1030,50627,46681,24266,31274,18622
11456,2239,2841,24129,1613,50766,50202,19687,18553,38781
159,2538,759,24448,3130,3441,49968,14221,18558,24896
9984,2239,1656,25661,1610,50766,50069,14539,17378,38834
7320,2538,3443,5439,1314,50550,50202,12744,18842,19687
6428,2239,3142,15185,4289,50553,49224,43377,18552,19488
12629,2538,1356,40013,1912,50550,50198,24326,19112,18264
12629,2538,1657,32897,1613,50627,46681,13040,19705,38833
159,2238,1363,18848,1328,4340,50095,14221,30729,32496
17865,2538,2842,11094,3430,50627,50093,31096,19685,18844
11750,2538,757,7839,1913,50627,50200,18844,17666,20549
7320,2538,1056,214,1030,50627,50070,31377,31005,18555
159,2538,766,13679,1328,5833,49970,13639,24300,30726
7320,2538,469,23373,1610,50699,48279,26799,18841,18313
159,2538,1357,5752,1913,50627,46422,31103,21123,18266
159,2239,1954,7321,1312,2814,49969,20015,19128,31284
7320,2538,1357,13262,1029,50627,50203,14875,24275,19398
11456,2239,4043,3956,1610,50627,50203,31098,20844,18844
11456,2538,1651,12445,4289,50627,50199,27381,31273,18544
159,2239,1657,15389,1613,50699,46161,13699,19686,32489
11456,2538,3143,36445,1613,50627,50201,44707,17979,32763
6428,2538,38638,3422,1912,1054,46681,19119,31274,24260
24733,2538,759,5485,1613,50550,49969,19480,18557,39042
11456,2239,2241,24955,1029,50767,46681,19972,14781,30995
9984,2239,3442,11964,1612,50699,50202,18579,18646,39315
6428,2538,4341,50553,1609,8135,46681,19399,18842,33045
11456,2538,1358,37821,2213,50767,50198,18038,24273,39586
9984,2239,3741,76,1613,50768,50199,23696,39859,18841
11456,2538,748,30958,2214,50699,46681,11984,31273,19110
7320,2538,1357,11686,1913,50550,46681,24271,32497,19686
13215,2238,13994,3141,1612,50767,50203,19684,18841,31098
11456,2538,1349,19428,1028,50550,50200,14782,19398,31273
11456,2538,1656,2434,1314,50550,50199,18841,34705,19398
24449,2538,757,34261,3430,50550,50198,31273,19973,30817
159,2238,1613,18570,1328,4042,50095,19685,24897,38780
24733,2238,3741,380,3131,50550,50203,32941,18844,19686
12629,2538,1956,11044,1913,50550,48279,13353,18842,19398
11456,2538,1356,3353,1029,50627,50203,17665,18842,38837
159,2239,3743,10747,1314,732,49969,19972,32766,18844
12629,2538,1059,28181,1028,50550,46681,31273,19463,19398
9984,2538,759,6306,1612,50767,50199,31097,19686,17970
159,2538,3742,29286,2214,50627,50200,44172,32767,18842
159,2238,201,3134,1328,12337,49050,13058,33222,18265
159,2538,1658,25460,1328,4938,49968,25479,20274,38837
9984,2538,1356,3923,1610,50699,50071,18555,23691,38837
11456,2538,759,40013,2830,50699,46681,32486,31274,17966
11456,2538,1352,1799,1028,50550,50203,17976,29047,38838
11456,2239,1357,3957,1028,50871,50203,13011,32765,19685
9984,2538,1355,23083,1029,50627,50202,32486,18264,19398
9984,2538,1941,11725,4289,50699,50203,28209,31095,24542
159,2538,7926,7453,1328,16130,46161,32486,31002,18841
17865,2238,759,1834,1314,50550,50199,32666,18266,38834
12922,2538,1056,19138,1609,50627,50069,21118,38823,16217
9984,2538,1357,18843,3430,50627,50198,26237,31273,39315
11750,2238,3141,12546,1314,50550,50198,20545,24824,30995
159,2538,1065,5705,1328,3141,50092,18625,18844,19516
159,2538,1058,20838,1609,50550,50198,25748,17112,39314
11456,2239,453,16258,1913,50699,50070,19686,18841,17788
6428,2238,2842,30660,1310,3132,50201,30994,32764,19427
4040,2538,767,2529,1328,38632,46681,20578,13931,19975
159,2538,13806,2841,678,1030,50094,19131,30994,32491
11750,2538,1356,22513,1610,50699,48484,18263,31103,19399
7320,2239,1956,13350,1028,50699,46661,27636,19686,17982
159,2538,1358,4886,4289,39725,46681,13640,18846,33044
12629,2538,32599,50699,3430,1657,50203,32493,31273,22267
7320,2238,1657,27928,1913,50699,50069,18549,19398,38838
11456,2538,748,10535,3430,50768,50203,19396,15654,38834
6428,2538,3742,33450,1912,5520,50087,31551,18842,33045
11456,2538,1058,11042,1314,50627,50201,17687,30995,39042
11456,2538,1656,748,1313,50699,46161,25952,30994,18936
17865,2239,758,10471,1029,50550,50092,16796,19973,31092
4040,2538,1055,34557,3130,50628,25016,48870,25717,18263
159,2239,1016,10161,1614,4340,46161,19397,32766,24824
11456,2239,1612,30687,1029,4041,49971,30715,38780,17691
9984,2239,1357,12197,2213,50699,50200,18841,19685,15966
159,2239,31750,12514,1328,3441,46161,13637,32767,25674
6428,2538,1054,38909,1912,17575,50088,17110,30994,39042
7617,2538,3741,32645,1610,50767,48066,18356,25955,19973
7320,2538,1358,19424,1912,50699,50201,18582,19109,30995
7320,2239,1052,8431,1029,50768,50069,28210,19109,38835
17865,2239,758,2461,1027,50550,50200,24256,18844,38835
9984,2538,1053,6647,1612,50550,50199,13118,19685,24272
12629,2538,756,31209,1028,50826,48279,32486,17957,18842
6428,2538,1357,34525,4588,3433,48484,24265,31273,38768
11456,2538,1057,18613,1613,50699,50203,18263,21983,24617
7320,2538,1354,12445,1913,50767,49938,20525,30995,38829
11750,2538,3143,31234,1028,50627,50069,15974,18554,38837
11456,2538,2241,10256,1914,50699,46681,17088,32764,18840
24733,2538,3143,29558,1029,50627,50198,20280,24273,38836
11456,2538,1352,6648,1027,50550,50069,20833,24823,18555
9984,2538,1352,13968,1613,50550,50203,27943,24275,38771
159,2538,1357,5089,1611,50768,46681,16345,30728,18844
159,2239,1357,18267,3430,29800,50200,13920,24550,38835
9984,2239,1344,75,1612,50699,50201,32767,19399,25492
7320,2538,1357,34819,1914,50699,50200,12465,18842,38833
6726,2238,3143,38932,2214,3433,46422,24807,30995,31883
6428,2538,2841,13282,1028,17576,50629,39938,18554,23698
9984,2538,2841,11709,1612,50627,50199,24242,33045,18844
9984,2538,4340,11440,1312,50699,46681,17376,24272,25105
9984,2239,6058,2842,1612,50550,50200,24893,19686,18841
12629,2538,1356,25927,1613,50627,50203,32489,19193,39315
159,2239,3142,7506,2787,2832,50095,30714,31043,24617
9984,2538,3141,8753,1313,50627,49050,16218,18844,38771
6726,2239,4639,38955,3431,11732,50202,19686,18553,38566
11456,2538,1956,15379,1314,50627,46422,31273,19699,19512
9984,2538,1656,21976,3132,50766,50198,30817,24822,18841
11456,2538,1344,24843,1028,50550,50199,14221,19685,18936
7320,2538,3441,11119,1313,50766,46681,30448,27663,34983
4040,2538,3144,32642,1309,129,48279,31271,31384,25674
9984,2538,1359,25128,1028,50767,46681,18626,17089,31273
7320,2239,1351,1322,1913,50550,50203,25918,18842,31103
9984,2538,1355,5965,1612,50627,50202,27918,18842,32773
11750,2538,1055,6317,1613,50627,50198,32665,24272,32765
7320,2538,1357,4540,1315,50699,50202,27363,18841,38834
11456,2538,6736,1641,1613,50768,46161,19201,31273,24371
159,2239,759,2460,3731,30079,50203,18841,30729,24899
159,2538,1657,13038,1613,50767,50201,19686,18296,17974
11456,2538,1357,11904,1912,50699,50071,31008,18842,38838
24165,2538,2241,12257,1614,50699,50069,27649,18842,38771
9984,2238,1654,5089,1613,50550,50069,29590,28210,39052
11456,2239,1357,27617,1314,50550,48279,24323,30994,19157
159,1939,1058,2511,3130,29520,46681,32210,19709,24273
159,2538,3444,71,2786,3431,46161,31018,31096,31273
9984,2538,1958,35078,1613,50766,46681,32774,20836,24273
11456,2238,3141,11705,1313,50627,50202,19397,18841,30262
17865,2538,1057,5089,1913,50768,50069,25954,18841,38550
17865,2538,2542,8757,1914,50627,50203,32664,18841,19398
7320,2538,759,11023,1029,50768,46663,17687,19687,32773
11456,2538,1356,20554,1913,50827,50070,25392,15390,38833
6726,2538,3142,40011,1612,4031,50079,19686,31273,17408
9984,2538,1656,3656,1914,50699,50202,22267,32389,17976
9984,2538,3443,15970,1610,50550,49938,43904,33044,18260
7320,2538,3443,13626,1913,50627,50093,33047,19396,18842
25299,2239,2241,11419,1613,50699,50203,18260,31096,39042
11750,2239,3442,34813,1913,50767,50203,32619,18841,18300
11456,2538,766,2542,1612,50767,49223,13033,17983,38551
17865,2538,33439,50825,1613,748,50199,30818,25142,19398
9984,2538,3143,13403,1612,50627,50198,18917,19687,18841
7320,2538,13805,1641,989,50550,46161,31273,18822,32492
11456,2538,1355,21977,1027,50627,50202,14221,19710,31096
7320,2538,1941,11156,1030,50627,50199,14489,18841,24543
15838,2238,3142,34796,3431,3434,50201,18288,18841,38832
17865,2538,3441,31513,1913,50699,48066,30995,17682,19398
9984,2538,1053,8136,1613,50766,50199,15655,19972,18844
159,2239,3744,19431,2486,2832,48279,30994,27664,32772
17865,2239,1657,6901,1613,50627,50203,18842,19685,32774
11456,2538,1358,8165,4289,50767,46422,25125,17954,32767
4040,2538,1058,36176,1614,11123,46681,13637,32763,24254
7320,2538,1357,32379,1328,50699,50203,18910,24275,28205
159,2239,3743,13917,1611,2814,49050,30715,22266,19437
9984,2538,3654,759,1614,50627,49493,44172,19497,18840
9984,2538,1357,5387,1328,50627,50200,25107,31274,31375
11456,2538,1061,25915,1030,50699,50069,39858,17788,24275
11456,2538,2256,17748,1328,50766,46681,17088,18841,31103
11750,2538,1657,12472,1611,50699,50203,32209,39858,24273
9984,2538,3143,13370,1610,50627,50203,32487,18552,39314
6428,2538,1656,13412,1914,50553,46681,24378,25671,18552
9984,2538,2841,3424,1613,50627,46681,31558,19685,18265
12629,2538,1656,36215,1314,50627,48484,18848,24272,17786
12629,2538,1656,6561,1913,50627,50203,18270,39587,27662
11456,2538,1658,13334,1611,50699,50200,18579,31098,18844
159,2538,1313,22265,3731,3141,49971,19397,30994,19423
7320,2538,1956,19732,2831,50551,46681,17978,19494,24273
6428,2538,748,3133,1328,50552,50069,30818,17379,18555
12629,2538,1357,6898,1912,50627,50198,32765,24274,18842
11456,2538,1057,33424,1913,50627,46681,14540,24272,27381
6428,2239,28198,758,4588,5186,50203,31551,18553,32768
7320,2538,4041,19251,1610,50627,46681,13998,18841,18244
11456,2538,2841,11433,1610,50767,50203,30447,16536,38833
9984,2538,3141,13917,4289,50699,49971,34705,18848,19686
12629,2538,1356,18267,1028,50627,50203,24274,19685,24895
24449,2239,452,12568,1613,50627,50199,30715,24938,19686
159,2239,1657,7245,3130,30080,48066,18831,24272,38566
11750,2538,2255,13967,1030,50627,48279,19972,19489,24272
11456,2538,3443,12819,1913,50627,50201,19992,39315,18872
159,2538,1358,11140,1029,2241,49968,17089,24273,38768
9984,2538,1357,7803,1914,50768,46681,24604,19685,18842
13215,2239,1941,8755,1610,50699,50202,21976,24824,38833
7320,2538,1357,32344,1913,50767,50069,15392,17689,38833
17865,2238,1657,7321,1610,50699,50203,19727,18553,38769
11456,2538,1058,11044,1613,50699,46681,32392,18841,19686
6428,2538,1054,35369,4588,2221,49969,19686,18265,31381
7320,2239,760,29830,1612,50766,50199,18076,19138,38771
11456,2238,1941,14876,1613,50627,50198,19712,31098,39315
7320,2238,1356,31230,1612,50767,50199,21697,31273,19109
6130,2538,1956,13113,4588,35905,46681,31274,16509,32762
6428,2538,1356,12807,1029,50628,50198,11693,18554,27944
9984,2538,1358,4214,1913,50627,50199,32393,18840,19688
7320,2538,1046,38684,4289,50699,50198,19395,26798,38287
17865,2538,1358,16251,1314,50699,50203,18882,24272,19399
7320,2538,1053,24300,1314,50627,46681,33044,22550,18841
11456,2538,1358,16512,1611,50550,50203,19489,18554,19975
12629,2239,747,50699,1611,1059,49493,18622,38829,18555
17865,2239,3741,12490,1913,50627,50198,20268,38561,17392
159,2538,1352,40283,1030,50627,46422,30714,19973,26799
7320,1939,1616,27908,50627,4041,50069,42839,20015,18840
159,2538,3741,17576,2787,50627,46681,22265,24272,19400
11456,2538,1356,17118,1613,50627,50198,32766,19492,38769
7320,2238,1344,31378,1612,50699,49937,20528,18555,19686
6130,2239,1053,3414,1613,50628,46681,18040,18841,22546
9984,2538,1652,12987,1028,50699,50198,24612,18841,24826
11456,2538,1357,19713,1613,50550,50201,13993,19113,30994
9984,2538,1357,12744,1314,50699,50070,44440,25464,18842
6726,2239,3142,33714,1914,3733,50202,19685,18554,38838
17865,2239,759,4282,1313,50627,50200,32663,18842,38566
159,2538,1356,1044,1611,50627,46161,19212,17982,31274
11456,2538,3741,11679,1611,50627,49971,18255,39315,24274
9984,2538,1357,3357,1613,50627,50203,32897,18841,19400
9984,2239,50550,11161,1912,1055,49813,20270,25106,27663
11456,2538,3441,2754,1612,50550,50071,43378,19789,18554
7320,2538,759,50470,1015,50550,48484,31273,31660,18262
9984,2538,1655,22798,1314,50627,50202,18555,19776,19973
9984,2538,1654,15085,1613,50699,50069,24896,18554,19686
7320,2538,1053,38129,3430,50699,50199,24838,18842,19687
11750,2239,3143,18550,1612,50768,50199,30816,30727,38781
9984,2538,1058,15096,1612,50768,50198,19695,24543,38561
159,2238,4341,64,2787,1030,46161,30994,18288,19987
