9984,2538,1657,33985,1613,50768,50202,24274,19488,39042,17976,19439,38566,18822,31284
11456,2538,1941,32667,1613,50768,46681,24373,16509,18841,38771,18625,19687,18870,38015
9984,2538,3144,3432,1611,50550,50200,17683,24272,38770,19688,31098,19140,38837,19203
7320,2238,2842,24612,1328,50470,50202,12570,19399,25122,38835,18842,31375,19747,24823
159,2538,1657,11412,3132,462,49969,32497,31279,18841,38771,18020,27663,24897,38838
6428,2538,1053,31501,1328,11117,50203,31550,17974,32762,19686,38835,15667,24273,38769
11750,2238,1351,6262,1913,50627,50200,16799,32769,18840,38771,24275,19687,38566,27663
11456,2238,1357,24556,1028,50627,46681,24898,30994,18246,39042,18841,31657,18038,38835
11750,2538,1357,15946,1612,50768,50200,19206,19139,39858,31273,19399,19172,38020,24275
159,2538,1364,5182,3130,167,50095,18553,31282,25126,38509,30817,19686,24301,38835
7320,2239,4042,27592,1913,3725,50203,31830,18555,15658,38838,19398,25459,33048,24275
159,2239,1357,23079,1613,1029,48279,19436,31272,24824,32497,17956,38561,18555,21405
16998,2239,1053,5387,1611,50699,50198,17749,18842,19973,38833,18007,33046,38769,17092
159,2538,1358,2521,1031,26148,46422,25940,31374,25391,18844,38768,24275,25460,17704
12922,2239,1063,27064,1028,50627,46161,31274,21123,25405,38833,18842,17956,38780,18039
9984,2239,748,11434,1612,50699,50203,24521,18841,14780,38561,19975,38779,24617,24260
159,2538,1358,32899,1614,50550,50202,44172,17691,24893,30995,32769,19686,38838,24275
159,2538,760,13077,1611,50699,50071,44172,17690,18040,19686,38838,24542,24274,31096
159,2538,1612,25142,3131,3444,49969,24822,24895,31837,38829,18555,19482,19687,38779
7320,2538,3141,35662,4289,50699,45896,19739,31273,19685,24281,25210,18841,38771,24827
11456,2538,757,6048,1313,50767,50203,17995,20258,24275,38223,32767,18841,38837,18076
12629,2538,1356,34569,1913,50627,50201,15674,18554,19787,38771,19973,24893,38837,17089
6428,2538,4639,26761,4289,12335,49969,31550,18265,16798,38833,19688,24825,38771,19146
159,2239,1644,11743,1614,3731,50092,18534,20041,38780,23976,38833,18263,32762,25177
12629,2538,1357,32665,2214,50550,50201,18841,17955,38833,18076,38780,18291,19489,25108
24165,2538,1352,11045,1314,50699,50203,17398,21693,38837,31273,18536,32762,38771,24274
6726,2538,32336,3432,4289,3742,49968,16636,31273,19685,38838,25671,18265,38771,18295
6428,2538,766,15073,1328,50552,46681,13990,32767,18266,19973,18911,38833,24272,25108
11456,2538,759,32665,1913,50550,46681,20269,32767,39042,18266,19492,17955,24541,24272
159,2538,1058,15098,1612,50627,46675,13989,30995,19685,38566,16811,38770,18563,24275
9984,2239,1358,17379,1912,50699,50202,18841,24822,20551,38838,18289,31096,38780,24275
9984,2538,1651,3655,1029,50627,50202,17665,18554,32762,38823,20265,24542,38770,31851
17865,2538,2542,140,1613,50627,50203,33775,19397,18840,38566,18580,38772,33048,24274
9984,2538,5139,50627,1613,1054,50093,44172,19131,31273,19397,37474,24273,25460,32207
159,2538,767,13390,3132,1941,50095,18842,24825,32767,38781,30450,24273,19972,38834
9984,2538,1652,14254,1314,50627,50202,15365,32772,18842,39042,19687,38837,18018,24824
11456,2538,3441,35388,1612,50902,50199,24654,19424,31273,38770,17378,33045,38837,24826
4040,2238,3742,14539,1328,50628,25016,19142,38567,24611,19399,14221,38551,24842,17974
9984,2538,1357,19430,3430,50699,50069,44440,19110,18300,37740,17974,23988,24825,32491
159,2239,3444,13394,2788,2830,49970,17378,33045,38781,18265,25390,18308,24556,38838
159,2238,5686,37548,1914,9986,46161,13917,19110,27383,25107,18840,37730,38770,24376
7320,2538,1657,35664,1913,50627,46681,30994,18536,31934,38771,18841,18327,19438,38838
9984,2538,1053,11119,1029,50550,50202,19685,18842,30450,38561,32211,24559,38769,24827
7320,2238,3444,5521,1612,50550,50203,25460,18553,19398,38832,32769,24542,27648,38771
12629,2538,3141,13406,1314,50699,50200,19716,19686,38560,24272,30451,18291,38781,17974
11750,2538,3443,18885,1611,50699,50198,18531,24543,38837,18555,24300,38781,27663,17428
9984,2239,24173,18584,468,1328,46161,20555,18263,24841,38829,24825,32496,38780,25178
9984,2538,1352,2798,1328,50627,46681,15964,18553,19686,32794,38771,33322,24273,25674
9984,2238,3741,19191,1613,50699,50198,12716,19689,18554,38837,32487,25393,38771,27663
159,2538,3444,6537,1314,50550,46161,20025,32767,19685,39042,18555,32393,24543,25178
13215,2538,3141,1244,1613,50627,50198,17731,31838,24273,38833,19398,24613,18841,38772
9984,2538,1058,6001,1610,50627,50069,17089,18841,39315,38018,18281,25461,19975,24824
159,2238,1058,19988,1312,2814,46422,31272,32487,19491,24824,19686,18853,38834,24275
12629,2538,3744,17995,1913,50767,50203,18841,19487,38772,24613,19686,38566,25675,31376
6130,2239,3442,33736,1913,3133,48484,31551,18266,20836,38782,24560,38838,16800,25197
9984,2538,1357,10846,1612,50627,46681,21696,18842,24043,38446,18534,31099,38833,24272
11456,2538,1357,26788,1913,50627,46681,31273,20273,32765,39042,17667,19448,24272,19498
9984,2538,3441,11123,1314,50627,46681,20838,31274,17977,38771,32768,17668,37742,24275
9984,2538,2542,7190,1613,50699,50201,19141,24824,24273,32490,38508,19786,19398,38834
