7320,2538,1657,203,1613,50699,50201,17789,18842,31097,38768,18868,19686,38838,24272,24901,38783,25392,38823,18332
7320,2538,1656,2762,1029,50550,50071,19689,33049,38824,18555,24844,23976,37747,18884,27648,38771,19146,30728,18076
17865,2538,1657,20812,1014,50699,50198,17400,32485,31274,38823,19687,16555,25107,38566,16800,24272,19753,38772,18920
11456,2239,1499,32114,3431,3141,50202,18842,33048,38718,19497,19398,38824,24272,38771,18075,25391,37747,19733,28209
7320,2239,3141,32493,1312,50627,46681,27637,18842,19687,17787,38781,18882,38837,25180,24825,27663,38718,19495,38821
7320,2538,1351,18585,1611,50767,50069,20836,18842,24543,38561,19489,17091,38781,18365,24274,38818,28209,24574,36364
9984,2538,1053,10552,1913,50699,50199,17669,19419,38771,32762,24827,17780,38833,30728,27663,20839,24274,37922,18006
11456,2239,1357,4194,1313,50699,50095,32766,19706,39044,27663,19686,18286,19787,38835,24275,23975,38801,25179,31006
6428,2538,1056,5186,2831,32324,48279,14221,19686,38838,17977,32772,38780,24259,24609,27663,18313,38718,38544,32122
12629,2538,4938,34803,3131,6349,46422,23956,18264,22267,38566,19199,24272,38771,28490,19111,30817,38740,18006,27663
9984,2538,1657,2993,1613,50699,50203,17978,31273,19686,38834,18905,32775,38770,27929,24275,24543,18582,38819,25175
12922,2238,1358,20249,1313,50627,50069,24301,39042,18840,32762,38838,24274,18295,19977,25391,38551,18904,38530,17785
6428,2538,3443,31756,3430,3418,50200,30995,27944,19972,38837,18841,38768,19205,32774,23697,38802,24606,38195,19149
9984,2538,1351,2511,1029,50550,50198,19408,39315,24258,17376,19782,38566,18596,24274,38822,31098,27930,18850,35825
11750,2538,1356,20528,1614,50699,50198,32490,39314,19711,19110,24614,38837,24542,24274,19208,30727,38820,27663,18296
9984,2538,1057,2393,1613,50627,50203,18842,19199,39041,32497,19685,38838,24275,18598,25107,38823,30727,18578,27383
24449,2538,3144,14788,1612,50627,50095,18850,40409,24272,19686,19748,38837,25107,31007,32766,19482,38718,18258,24617
12629,2538,2841,20026,2830,50767,50198,19693,19138,38834,31558,24543,24275,38772,31374,19221,17089,36100,27663,37923
6428,2538,3744,20265,3132,10550,49968,31550,18841,29332,38838,32490,24545,18616,38780,18580,17382,38823,38447,24325
159,2538,1956,24254,1913,50699,49050,13153,31273,17089,38836,18552,19786,32770,38769,17704,19976,24273,38818,17785
24733,2538,1656,23649,1016,50768,46681,32495,25456,18553,19974,38832,32671,24273,38780,18328,27663,24540,18006,38721
11750,2239,1053,32922,3731,50550,50198,19131,24900,38770,31274,19687,38838,32484,19203,24260,18891,38822,24559,38446
7320,2538,1058,34534,3430,50554,50202,13369,30819,18840,19685,38838,25435,24275,38771,25107,16800,25179,38551,30727
159,2238,1058,5089,1613,2814,50095,18270,19974,33044,18334,38718,24275,38561,25108,30728,38771,17090,18025,35825
11456,2538,460,39999,1328,50627,50198,19737,38837,18844,19397,32943,24826,38772,32487,19481,35002,24845,27662,38821
9984,2538,2841,371,1610,50627,50198,24326,32764,39042,18841,19686,18022,24543,38837,31284,38821,24274,19496,28225
24449,2538,468,31770,1028,50699,50201,13617,18844,38829,27664,19111,24824,32497,38236,24275,18646,25460,31007,38801
