19485,34948,36259,2061,6526,8479,40710,36963,46043,32780,23388,441,20920,19070,49793,34719,40405,40544,19659,30449,28616,10368,156,15503,44775,7380,50397,25194,5264,30379
2375,34759,22172,11127,22864,35933,14356,14251,43562,1282,3796,21101,24536,44921,36878,422,15898,19193,34728,9447,17619,41051,22947,47763,22514,43176,41495,50885,570,35664
30722,11345,35167,34961,7164,14597,24537,16138,25341,5210,45070,12069,15069,22601,47538,15703,7750,425,16589,20899,50851,38206,36223,41849,35590,34517,32183,25063,39353,48520
26397,20108,16458,38877,8429,23034,41482,42916,40963,11221,49085,22167,37290,45766,3735,33624,30907,45659,30679,30460,5854,33782,50513,24814,9567,1536,35174,25314,42172,33181
5726,48765,42622,50349,16067,3724,35608,10261,19709,15282,368,22790,14634,37149,28120,952,39779,32806,33221,24620,22992,46763,7926,17829,26622,16968,6929,11265,16297,45791
18218,40725,10487,30527,22129,3485,1576,46900,2074,6474,1348,2629,13764,50764,36034,9949,27163,19709,31842,23877,29421,49849,16473,24557,44635,33247,26738,46264,29263,21341
42466,16524,36558,44662,13011,33087,45011,4359,3152,26970,32805,5101,23332,29426,29069,17932,34438,6646,50507,11884,5200,30471,35066,28404,20712,7879,38288,47588,31886,5416
43735,33953,22695,18154,2512,23560,8512,10713,49821,50621,34491,10449,19509,32123,8310,43254,11840,1712,11140,6689,49480,15280,13468,37568,266,10178,22859,49047,10619,22386
48178,20919,47961,23316,17486,38350,6507,10890,25027,32697,16401,26956,29438,29216,19132,48370,28790,33865,23699,5856,6553,19093,45963,2471,46317,27980,9983,11991,20836,26342
33087,15665,16557,47787,41363,42077,10964,35525,39342,28977,18331,14053,13830,37039,6599,42358,25934,7313,44184,13156,10498,14250,28385,38169,47884,35614,13175,33949,5058,6973
26733,15913,15838,37166,15483,1811,44934,28245,47379,15696,38149,48975,14364,24553,11588,30401,19691,4451,21731,38766,48247,47758,20890,40934,4471,22623,17476,22692,25438,20253
19311,27413,41553,1876,41592,30369,2496,46409,7649,38731,44324,19695,38565,38817,32241,36650,14107,14068,35637,48489,27955,35517,8902,47183,30191,45303,25886,47869,44182,23870
25018,2502,26547,22999,19348,27867,13497,6105,39871,29582,42170,13386,46229,24913,4105,20937,38833,27443,15207,2721,36760,26695,37421,11020,10598,50047,13785,24498,1587,40637
24842,15564,17177,5409,48138,43990,46718,35809,35858,26125,17411,3640,40095,9452,41268,41346,33108,11426,13627,22333,30062,22184,3287,23510,11628,13649,2518,25850,18714,3757
30840,19511,12176,50154,18846,38294,2287,27776,11382,23428,5148,564,41928,49372,27056,39644,6708,22125,7907,41265,40520,50770,24125,41401,48126,19846,27471,3167,43325,17542
30306,9718,39066,26737,11927,3512,22181,19918,49295,39978,50760,24334,20665,23709,48553,40852,6306,31098,44853,7509,4876,42821,45748,24798,33396,36415,24188,34189,1316,35345
10957,23529,43125,11894,6147,44479,41134,31528,7208,21665,47208,50251,1026,50552,22599,44777,12439,41211,15199,1082,48783,45887,35062,17938,38892,6500,28916,765,2200,20756
1266,50890,25385,49071,45071,17953,17027,41061,6801,40859,44608,33828,6875,1135,19961,1713,38517,38341,7406,32253,14640,44453,30857,39289,11105,29051,19523,41226,26879,4213
36746,12653,123,13190,8728,17760,9452,37653,22742,33956,31653,13169,23862,14925,36465,38239,16458,27418,40060,40907,43811,1026,32451,26172,42357,35776,9058,20547,10898,11933
20443,11839,20154,48261,9635,2527,34518,13745,20066,32785,1911,15611,30865,27148,8952,40172,46840,11420,23576,3750,3736,6789,16112,27654,2165,15885,45826,41020,46636,40512
14980,32015,31905,11019,33693,35236,39139,11836,36980,47014,43044,29334,22200,24438,30834,21331,14488,48992,35131,38639,11754,22135,27845,31942,13521,32306,2079,17573,38137,12280
11750,27833,5253,17393,6677,29700,38880,22867,10041,43377,17681,30149,33330,48108,25598,1525,5792,46362,45898,207,18081,22749,33192,22208,24702,13565,21782,19739,42980,19480
43114,11941,1845,387,42322,15367,39514,18018,39675,11428,49899,23047,50684,5093,26734,25980,33484,47092,23420,40703,27333,46936,35091,38090,18118,24311,24335,4372,27661,42923
33665,15401,29122,26911,3759,50086,3517,18567,29413,22871,36716,22582,25640,14194,42440,5789,34469,3755,45618,10305,39603,39408,14858,48462,13465,39657,37306,46776,31714,37400
37382,37591,33937,26133,15544,16653,20089,21432,45248,84,47,41979,27861,43881,16312,9782,1301,42361,45209,40955,39937,32496,20832,6919,47557,28269,2901,20750,4994,10761
21616,10604,43070,18770,46851,29422,47645,26792,44544,45113,17504,46609,40132,1360,16166,44573,18714,10861,850,30003,17653,26512,25232,15104,2642,25843,27029,2381,6276,37055
9456,4033,14893,34924,7278,6751,14091,896,1779,46278,847,33735,9504,34018,21947,24083,35326,1913,980,46391,36004,36473,15880,43357,128,8978,42150,38827,26019,41995
1320,18301,19634,41110,3599,37404,45511,29955,19167,17232,33647,12575,13097,9440,21344,31659,41834,13171,18139,22818,28876,38724,22623,22744,33022,12962,11163,14992,44920,48766
49313,31790,44428,28716,10372,45922,50470,9343,21284,11840,14371,34002,13660,44085,10274,45724,14096,49568,34011,47995,2385,30187,23205,14185,30856,36101,38475,13014,20656,32009
23064,43242,39204,5003,37874,8550,30360,26900,7159,49157,7195,3590,3574,26609,13383,34269,39432,13212,16086,35279,26030,49273,10279,42651,7251,21841,39723,48826,27672,49622
2668,29102,7998,34865,8009,27782,16237,36866,48784,35560,12274,43274,44106,1960,8356,1344,8529,19875,16735,20358,48839,47711,48726,6078,34192,49246,24843,43504,24350,49810
11343,21326,6190,7437,44331,43985,38383,49465,21868,32430,46359,17461,20878,3351,15950,13237,42990,34904,31333,8374,32425,8863,6600,32394,39483,19756,45024,43378,9381,35386
35437,5682,12878,5101,9708,36093,653,20865,10489,15497,46821,39025,30508,3011,12546,45004,46971,21996,50244,32052,47164,5605,23002,9393,851,4373,30702,15195,20545,7854
17974,3561,25952,18743,7120,3005,21744,29285,47455,11616,33233,25582,45075,17050,29165,17452,43176,40989,26964,31296,10640,46312,27539,46049,17598,17159,6095,45432,17644,28656
43940,33277,40584,21547,45321,40471,15547,46781,46880,11902,8401,40540,16093,1732,39676,32655,1927,13277,37239,19885,5840,30974,12276,13612,36410,7552,1947,6287,9075,264
44874,47490,4499,27554,36567,20866,30161,27775,24278,31706,7761,32715,19274,33956,18716,10410,18506,50120,886,32852,74,45796,4993,35049,48808,4726,32068,19747,40965,33399
29192,18671,1595,33086,39840,22718,10556,31080,14444,1664,42593,15370,19165,5379,5926,33358,10162,30299,18494,40512,20303,11220,7965,20471,24983,12279,20612,10009,22024,13329
15867,34171,32859,21098,34506,48962,17491,31849,43706,18131,49256,25727,17982,37326,40829,9581,794,41320,19096,41861,27618,7565,15062,20521,4843,11507,40927,20545,38495,30283
21519,22798,30652,50709,47257,18110,8086,21674,11792,23700,14773,38393,50536,1377,27593,26528,45908,21073,15493,41224,50861,42960,11689,45719,41327,40034,155,15448,34442,26719
6502,38267,46793,47380,12580,9089,2676,36212,5950,23619,34234,48626,8077,18780,9629,39013,8152,31761,47748,32567,43182,34220,20425,48682,3042,43847,30967,33516,47402,25097
27964,48600,21226,18326,22948,11552,24447,47748,20765,1863,34852,13552,37527,7693,40473,31580,24181,10492,38989,35596,41209,28262,16471,23152,32982,31440,34787,1259,44595,36982
20598,25527,37021,50054,46423,22284,48868,8713,50816,32099,7174,41160,44948,27478,2623,27968,8284,13639,23441,21352,39581,15558,15831,5126,3135,5722,6996,41282,22045,21329
42024,12931,40637,18191,15189,49011,18867,2121,35478,37224,41542,16139,36423,15722,49492,33505,24951,19603,695,38748,41514,5005,2423,27191,48869,46514,17047,18626,11748,18322
36058,11100,15147,16307,10605,40971,23382,35542,14610,46889,31632,28252,6619,15431,41686,3462,26620,20772,32018,3175,27448,29550,2575,46350,24948,35069,45023,6734,33190,15006
1399,4023,3770,34340,20426,17828,31993,22042,38257,2561,38331,32173,957,37478,13409,38225,39193,49475,46636,37865,50634,12317,10672,38640,16798,10398,48703,24446,30947,10423
17941,24140,31631,1210,14996,27397,19746,32504,32694,734,33739,4843,39179,29560,37965,34743,17768,49060,10634,11403,1178,20148,43282,4535,32589,41734,49851,30393,8123,35823
22483,17199,19228,5473,5014,4774,27015,19576,47000,3780,15347,40254,30998,14893,46233,48444,49826,44900,707,36869,7798,22401,6720,36880,1771,47768,8632,16918,48098,20506
3235,27791,13404,8664,10056,1758,45255,211,40524,37065,46921,31448,1885,18851,5539,2091,27099,4390,6185,13841,38496,18290,7555,19178,36253,42336,50105,21496,47101,20669
40688,14819,24461,243,30138,13089,40130,22461,37184,35119,24566,1533,38903,46674,21746,9514,17263,212,23194,25934,4758,49355,33476,32328,4431,38936,42831,4899,2015,38637
49927,48805,42938,11822,34673,30408,35860,13994,10626,33416,33144,17231,9932,14819,36660,9989,6504,34516,16102,49623,4195,30534,40626,32291,19319,5086,4076,23194,19206,2147
14885,41556,36090,7698,48442,19582,734,45512,37927,31478,26701,34066,15380,46319,10143,22492,3277,36136,1167,40414,14841,18870,13721,11569,13019,38439,40070,33713,41463,29480
22316,44564,22528,50405,35102,33074,20526,24486,36649,42275,20949,23325,26867,5606,11418,20755,38482,29601,18093,17482,6054,34464,13643,22757,46639,11459,45270,37098,46930,12190
17000,44027,50793,16029,43214,8205,5270,30638,41145,4269,5739,15236,42690,16254,25355,43961,2415,19069,25426,41508,47265,44481,32968,31224,9916,17026,7314,25415,29032,20540
13017,18367,38703,5636,15936,20099,23902,15225,13827,34074,1257,11604,3997,7500,31748,20854,23574,50878,2692,13024,46912,30692,21406,9787,9934,70,37385,39907,32491,38300
18777,3676,44403,50126,21351,2941,46853,38126,44329,20394,49821,1364,42781,7410,45420,49680,5190,17956,26622,48320,49294,34463,30351,46430,17222,16910,28626,15221,35405,46228
44630,25211,18939,47632,49472,18829,26634,42284,42945,17363,39803,27665,8826,6993,24415,4482,47090,28178,19764,32081,17564,47216,28063,47067,16994,6454,30968,24823,21957,1804
46210,21720,88,15216,16931,43854,50392,47878,14662,19644,37148,17356,38095,472,32560,13956,24969,32265,37587,26926,2689,50673,42003,18236,48,26616,37055,46202,27109,32322
20973,38306,37680,44475,47735,11168,1961,35983,10786,8233,27924,40523,2259,24039,4900,21641,47332,27561,31420,45327,45056,45073,27622,28402,17931,24498,683,10548,41914,10015
23291,42673,29812,15670,20536,18682,25581,7641,28207,27275,19280,13291,1142,27925,29116,15715,32035,46847,14316,41508,12404,14184,44849,8304,38318,37395,31845,8164,9834,22361
32551,4930,3599,37364,15061,45666,22538,37350,27392,4099,40688,23351,47839,41233,27908,43389,36386,12003,21100,39531,30014,28619,18769,14814,19629,32681,27165,42415,20180,24817
6165,40427,23389,9317,6805,42954,42572,25447,30859,20534,1851,1011,23505,21490,19522,18418,19021,34211,1023,5317,27084,50419,28254,45568,43564,6448,32242,24066,25011,5647
17300,9119,24417,6084,12505,7575,35263,50398,24440,32007,5660,35624,36270,28823,2190,13542,49568,5975,5155,27887,33144,31840,16696,39788,47413,23007,45948,44911,4053,39228
10763,22811,36375,26208,11120,29293,88,3152,4645,32077,39461,12446,41849,3841,23662,48851,4732,41370,25029,33787,2865,33352,45530,40671,27476,42134,30832,41252,23633,19493
570,17273,41032,36027,44176,30023,33491,37815,36476,33777,15657,44722,15828,36408,2087,1989,31883,28962,19262,48400,17047,47523,38250,20355,34160,41180,23417,33985,27708,5715
24508,24488,40608,46884,5638,30830,45979,18681,24610,26484,8216,23698,47220,23174,22512,27768,20421,117,24385,1419,28195,31700,32059,25737,19862,29157,39456,252,15506,39625
40569,35066,21406,50472,6147,6018,543,50025,24275,31607,48704,47776,14992,27991,27990,16834,31003,13126,35577,28278,13882,41596,28406,44412,48400,29743,11205,40850,39546,33502
31643,25681,43173,12901,31551,33971,50883,24788,36213,10846,23674,50326,43090,36463,14718,38748,28945,16236,45153,16406,10970,5241,247,26007,8758,4425,15393,23491,49208,43398
38490,14705,13360,22641,7998,39882,11423,3059,45272,23776,46370,24719,50451,4313,5834,50383,39670,8287,36844,29083,8430,4851,27939,5557,47303,156,28479,50763,28359,4681
25975,2394,17146,16517,30049,4073,1672,3277,50205,2844,36110,9925,40474,41442,49224,13452,19055,44985,42508,17221,36029,7211,48041,20369,21308,27774,48351,3723,9805,28093
14890,28275,2444,35025,40588,36562,40643,36351,38824,40259,15636,29895,4705,3063,7762,49424,50511,48755,16482,45475,9259,35080,4543,6222,1543,37265,39883,25870,10092,48614
45101,2483,10738,26144,45451,1185,42765,8763,3503,25504,9013,10965,47956,18753,26119,22083,38391,4023,25776,44125,24101,35088,50246,48277,15076,25038,45988,3895,39469,31479
5239,10002,19801,34792,812,24720,41814,774,48483,13404,7713,18700,35619,40269,45427,13798,48175,7329,17840,32860,31823,43988,10598,38841,48167,41323,7333,38662,31585,36169
38274,19386,14948,19744,36830,22472,25387,21629,31487,1963,18436,48011,27945,48816,9185,9202,50585,39949,35466,26221,37523,49731,5192,30535,25976,26706,42365,10137,15604,45
43758,39551,43453,44654,36594,19566,26013,24350,31858,44550,2221,18673,30250,11153,25579,37645,5180,25610,15888,39725,50280,28782,33228,44632,16816,21711,19745,37754,28612,12560
36098,40663,18870,44587,20775,47307,27579,1391,10486,8845,9068,29560,7453,7798,22045,3407,42968,40755,33789,12981,38183,15986,9639,8810,4260,2118,46330,43781,25967,17044
40644,6774,38811,48632,17757,41660,37313,5219,27360,43958,3772,41007,26876,44206,48159,18523,4617,25806,26488,27756,5241,23303,17984,3519,44696,43819,10083,9114,32005,32567
2949,12195,16568,44648,23486,37576,34005,15276,27909,42421,10893,33832,658,18835,11020,27024,41980,40794,50581,1655,33938,49389,48932,30182,185,11369,33578,35607,30669,43516
38522,12694,11645,27334,38362,14091,42323,42671,20720,28085,2583,24245,38043,31300,3489,2573,42293,39099,45204,8001,30668,19752,14733,36141,32610,12977,7283,26143,48629,11950
15004,44669,42955,16555,36601,40127,8315,6913,44324,3411,8724,43554,50189,47367,1174,20913,48772,35658,42358,27221,43473,30391,25690,47199,4314,20215,16468,41771,8012,13643
15006,47150,50114,5064,30486,30162,37426,23304,2055,48162,4870,3701,36586,7245,18224,45747,20907,14217,12346,3606,42949,26105,45921,45161,30540,37202,27829,48490,27272,18821
37045,872,40122,17925,16145,40876,1557,31694,48059,14972,21262,2963,2251,33395,1086,33191,26455,31662,21081,35625,41472,11552,27939,38169,16212,49086,45911,6253,32775,2465
3350,28907,30136,28494,41266,32359,36299,22851,36464,18700,34451,24420,49513,29999,48430,11344,29383,1411,44808,18623,23684,47980,18732,5625,3632,40774,30816,8569,30493,3602
8777,41180,47931,17357,40468,37882,23202,10062,39933,43508,3248,2364,22512,44677,40242,30255,45006,17471,46655,32133,1795,11787,2248,25682,49499,12127,47339,34666,24259,31127
38733,12525,13024,23986,18500,35960,42011,17545,12542,24848,45502,10971,46923,35716,24422,42119,7985,26685,8528,37912,18609,34314,5359,40270,9442,45396,25408,31803,13858,25627
45591,1504,20786,40532,14989,1608,19322,3932,18903,4154,24441,5380,29068,23248,36174,22565,19801,45132,7901,32469,2161,1776,23484,35219,23437,33497,10956,43498,15465,6801
49888,48666,28400,22583,23597,39518,27598,39023,30698,20267,40551,27937,21631,21565,46091,1236,25809,34678,4273,47520,6296,5550,17382,31124,9905,15664,21408,19906,1508,27324
14012,6695,39377,50102,50189,13344,28760,46980,41852,30388,12669,35418,47566,14455,50622,20177,27064,27990,37280,845,17038,27166,27248,9956,16247,30294,26179,605,4427,41875
9986,42426,38247,10121,41208,44216,5752,788,33689,39619,31448,11093,44345,9157,41358,13104,7094,27633,3007,4611,16806,46901,50899,45921,11043,49539,30715,31412,46871,575
30700,35486,43475,13597,23807,29956,20565,44886,29201,7950,7539,5886,23867,3069,15730,27276,790,24122,28279,44307,536,48263,46542,10762,40928,41289,25292,41357,14769,8446
22729,19429,20781,22193,35694,31597,45244,39606,5040,4871,22730,11120,33541,10406,21634,235,1914,587,42773,18231,381,50099,16283,17133,22956,14312,47563,43934,12854,29903
4541,20182,25820,34994,50756,6802,46797,25833,30418,5646,35500,40707,41,45363,25676,16799,7255,36190,7223,49563,4614,5853,48484,33946,25141,4298,42912,41193,17697,24531
10486,297,29729,38572,9328,5515,14146,35031,26208,21279,21218,13378,47704,5335,48690,35564,27025,41949,18507,23707,33192,27616,16448,34112,59,37924,41655,3916,26845,47192
14292,49936,23283,26993,48579,33993,16703,22536,7917,5584,41700,39750,16060,17442,18028,14964,4508,30035,23932,50756,19977,3667,13556,43807,21060,42890,26207,1767,42865,8639
31297,42738,30893,47951,42683,8893,20396,37011,41901,42133,17740,13794,28131,48655,10613,25822,24761,3513,14229,24044,47496,9233,13956,6610,25388,35664,13533,2543,43360,34025
38759,10003,41763,44809,33717,10574,14608,10493,40573,10347,40690,10891,21929,47173,9266,9640,21636,41368,17427,48133,13993,24023,20269,10410,29598,18125,13485,43435,29634,19698
31448,11162,9199,30546,36083,20426,49173,36642,23822,12978,14129,43421,38437,11586,43374,31332,6763,37221,41343,14984,6879,32539,21132,16980,19581,15219,14976,20435,46060,5497
31209,25103,32204,21079,18025,14037,33084,6939,45510,23689,43104,46733,44273,35392,18896,47567,4641,2960,8936,8159,45858,6314,464,20328,4312,25311,20169,36959,13990,783
7417,17877,43625,3977,19088,36219,25052,39264,23024,24398,251,50834,47295,3860,40595,31307,50773,27261,34984,8041,20683,5542,22067,20078,34968,23608,8682,5959,5295,50006
10634,26547,14570,43468,9347,31467,11399,2244,27855,1617,26410,40763,14128,42371,33577,18840,42977,44068,25249,32982,18306,44214,575,38513,28711,49126,49018,7545,16750,7769
4252,9916,50513,35321,45501,42158,39375,946,44413,29079,38617,43287,36335,21274,21201,11600,48625,4278,25643,28201,19170,33724,31542,2100,29293,37865,13838,16651,37622,39286
31240,41226,21464,44363,2377,34328,17894,50887,26725,29554,23563,18581,12342,49385,49315,3338,28099,48223,30124,7406,32217,42922,10513,19625,37090,39306,47800,31826,13355,27182
7236,45278,49640,45571,33728,50283,31143,24850,26257,19041,23371,32783,44495,30854,18624,8747,21378,44923,22841,14780,45809,26423,657,18050,45518,13316,10567,16986,17682,37259
47698,47842,12200,37330,34157,21601,11521,42083,26538,44723,17317,10306,30666,12538,23220,10619,44216,40949,24440,33634,30571,4668,39863,10428,21982,50772,37485,6917,20248,1737
38961,22554,11277,40212,12124,2299,8533,7132,37345,38712,8381,37118,27028,35730,11437,1837,31645,25572,8605,30254,33205,11219,30372,19558,43304,45157,13966,21378,19150,43531
19141,15156,37715,46502,35664,11671,3534,13111,13967,27979,15512,31842,26152,17014,35644,15117,27958,27365,28484,4310,46548,31211,36237,24349,15515,1105,25033,8292,3519,36605
244,10433,29525,37359,43905,22787,44412,11734,27169,42975,49104,7815,35625,46615,1399,45582,14505,11985,29649,15730,11045,9938,591,11017,47642,26282,20652,32169,46298,31719
21323,15890,19266,6430,17786,36509,4146,19633,38469,28451,25547,18366,17183,46344,21675,3210,149,37392,16528,27764,48962,3815,25546,17404,6358,45298,40850,49159,13839,6103
15817,11043,15942,10044,45823,370,7592,20165,35467,30567,41663,24167,50376,11599,42223,18405,18200,10609,17202,14190,688,15287,45791,31160,49796,47854,41549,40547,40503,9910
24455,7731,19748,3684,37468,45129,3787,47855,23215,50537,31240,18830,50306,5407,15203,40364,33658,8847,25168,24945,19358,2594,41808,12886,30892,27599,41184,24053,49696,47954
12572,44056,13065,40291,34711,36037,48734,2178,24484,42071,35767,49421,38684,26880,30400,15898,16733,36076,31309,28342,9813,5848,46839,13935,16426,24309,45636,11152,34086,48112
18333,35676,37875,41447,540,13591,17960,48228,48060,9785,8491,9999,2910,49809,15289,6723,20879,48087,8695,25395,36834,24987,36373,6109,12310,26013,14994,42938,16028,784
35343,5036,12355,759,36941,34793,21561,41632,37283,43723,47926,40809,29317,10732,442,23737,8466,35142,23458,45953,50552,18376,42662,24847,1211,49025,33128,46219,15617,20297
49169,17198,37606,34675,37997,45063,38933,34196,43545,18241,3743,3184,47552,21737,37115,42106,18332,41733,43098,9064,36028,22759,4611,10193,3108,40659,21620,20473,41809,20312
42954,37776,18746,23338,24096,9344,26552,39183,40929,1222,31372,1029,2909,28363,17928,4806,1735,20101,386,32986,30985,12801,45375,48749,36325,14781,46506,20709,25272,19205
8562,2343,41688,32544,34506,43842,9295,13552,43610,49421,46852,34674,22909,17979,40614,40293,8685,69,12702,6943,35669,1579,43721,23162,47914,50676,44952,38075,16197,30294
49863,47336,8800,7527,46464,17002,35207,24762,26925,26457,15514,3808,7434,45852,28912,8724,39832,29079,37176,32584,38390,31160,37856,45807,16420,50691,266,14359,28902,31270
19982,40936,40301,22397,46512,35631,30921,10574,49613,14543,12044,27964,18195,26777,14201,23884,30040,6485,14026,38643,21774,47898,39921,42885,10273,30543,39682,12240,3568,41409
25243,6258,10075,42883,1058,3641,41019,36414,23713,15825,8860,47766,37554,42487,13489,22878,18938,25019,34519,7370,26814,27892,26049,8420,9028,5616,49460,44855,16262,12662
14140,35880,23900,2715,29535,3399,32893,47354,49167,41611,28600,46353,19432,32300,28454,29637,9511,47500,41908,19990,48597,6385,23012,42585,621,30931,50465,1288,39261,24534
20943,7000,41079,33709,32878,37843,37263,24550,37244,38221,37530,15324,5273,38696,19998,14607,13405,347,47723,40066,5487,607,22474,36705,23892,2437,34208,46608,44548,27074
14852,16360,27170,9986,2451,24619,256,228,48855,21727,24624,47810,5060,37183,48729,31029,27138,45862,8353,34150,48469,45139,8633,18231,14528,32534,10060,30986,7941,922
44779,5505,2762,4514,29375,12774,27480,6341,39866,14136,3379,42419,21239,36690,46766,42984,1033,25038,9495,31203,7273,5119,44349,46449,12400,3761,15267,19207,13840,7821
8651,38479,28122,1853,12300,10667,43806,23303,23905,6320,11261,10088,25557,27675,2270,38404,12288,18632,31058,25343,18526,17306,4891,9506,5235,8928,46750,37919,44780,2368
47530,1334,1603,3311,13489,41589,50879,28200,36117,33153,40514,22983,14028,18061,679,1689,3721,13956,39046,40123,25345,36955,38378,31027,2439,9998,36450,24020,47098,1915
39950,12446,34513,30842,29928,50452,31983,45058,30089,50643,19249,50137,47625,12271,21642,46767,10832,5213,11507,7473,35496,45027,1296,46279,47204,698,31886,44836,11283,18168
37389,9089,40516,46584,31650,26289,13952,8027,13346,10591,19242,23753,48052,16775,49187,7212,1454,2286,43796,22506,17744,35478,45199,28397,15510,9813,33291,1654,4842,15005
49103,1159,23780,49115,15020,3722,586,8791,9015,21707,27722,33662,11153,47073,17957,28545,48456,37232,12755,1286,40800,30439,26148,273,18755,13383,311,28164,24019,48890
45687,20469,18133,47672,30493,29769,10762,44420,21533,46612,8649,8897,3909,3010,12929,32267,19954,47138,17017,43503,35450,6837,21384,15289,40471,36803,43146,27324,21099,27468
30739,19604,39284,47776,18175,3924,39736,48125,22152,48714,14212,41578,39511,7739,10356,17835,20497,11281,32582,32195,48089,30543,29387,45518,44777,5146,35695,6480,17576,10739
32894,39869,1357,21056,11020,10674,15492,13545,36112,16353,26723,6536,21291,6635,34066,3379,39492,17842,32931,12847,36771,44998,9781,22906,39132,1361,12128,32960,28894,24671
8643,21161,666,19330,120,5815,19151,1078,43606,25077,13077,45185,38079,2659,33887,50330,13248,50061,24660,19497,24633,12433,14450,50615,1384,47365,20950,36688,19205,1203
42814,39827,17390,17861,19006,43648,708,40290,22586,29700,44816,16311,27036,25929,2843,48660,43022,19389,34502,1409,11474,10956,12290,30633,44650,912,32855,516,25429,107
37526,12727,21473,30551,33039,13513,11147,37760,47247,29577,27244,38722,22251,47280,31609,12417,13075,25099,23098,12761,22018,43067,46629,42720,1398,31945,767,29261,5838,4640
48667,34332,7272,35495,43577,50849,36802,42892,36977,10683,3051,26261,33530,23601,46400,46858,48486,36587,13009,33253,35512,49245,16993,22431,38954,23792,25115,15163,24415,32448
381,23474,48379,41010,12150,11174,15705,44584,12970,37671,5886,2509,49948,50761,15724,41044,39834,35314,23568,37835,19637,39247,32113,36380,25921,1172,11144,6915,50241,21981
24617,21582,50657,25712,24485,14077,1069,12782,2197,6545,30507,35127,16339,50700,14221,41068,22094,4983,7695,48972,43565,34722,14216,29241,48006,37487,22439,31093,39372,19311
11017,20882,10918,38657,2886,40121,46100,30493,48861,35253,43320,47155,22568,47551,18124,50516,5476,44310,45122,2297,44491,18240,11411,8451,37991,38026,16887,11568,46421,50611
40466,17544,25419,26751,13061,45543,8083,29345,32784,46368,3527,43491,27990,68,15176,37839,37394,19514,19465,4907,42354,15159,17060,31014,16557,6027,40514,38160,45302,43877
29538,14438,23205,28422,5607,26771,31570,3694,44234,10270,30428,48186,46556,6571,38209,23523,26146,24306,45507,31775,15128,3763,19138,42940,44865,22515,31605,30364,29447,36952
24267,11704,18635,44904,22414,6524,15714,14858,15640,49165,49685,1339,30621,48651,24525,4183,22532,49974,7281,44675,11181,4555,36586,14410,43234,30058,1594,25822,19950,41809
18965,30031,45581,18832,25322,27988,7062,40127,4225,31285,22514,46794,10398,24103,43770,30461,44247,15093,40836,20866,22603,5863,15157,22880,25703,12646,10502,43006,32659,44546
29920,12358,43594,22791,28792,12251,14183,17806,33116,25977,1189,4868,39141,13961,20132,22112,40980,5977,1035,21384,34176,2260,6936,29020,37054,33270,14778,4849,43336,28680
5026,18818,29894,28559,44280,32674,654,37777,32050,10072,26547,38315,50396,2672,27904,23285,21269,16638,46461,48795,13182,24223,17530,22881,19719,25036,45308,13059,375,1810
18308,37928,34206,3230,26017,47793,26068,2833,42908,50627,46994,27083,38405,7819,2875,47471,50728,2754,11072,46766,15742,1579,19441,24431,21465,5550,11511,38344,44995,6868
4824,13803,120,35634,5893,1313,16420,3699,6320,11866,24693,7797,42957,11974,42630,7224,40720,26600,36113,1779,35889,45616,36317,28814,50169,41571,5024,21625,37351,41398
6026,48443,3874,29737,44793,19264,8399,26484,26914,5574,3577,48018,31750,12805,22256,21046,7882,45970,33768,9456,35228,20868,12022,3856,8195,21527,11702,5229,25649,28004
